type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,435,0.3032311516155758,6,8449.0
barabasi,3,2,774,0.39341857053028717,6,9542.0
barabasi,3,3,381,0.4033045827704458,6,9623.0
barabasi,3,4,528,0.5568504256181597,6,9868.0
barabasi,3,5,315,0.2203956939191155,6,6874.0
barabasi,3,6,728,0.39688675302966986,6,9572.0
barabasi,3,7,239,0.3029836609045702,6,8446.0
barabasi,3,8,412,0.8616932103939648,6,4772.0
barabasi,3,9,599,0.5718079673135853,6,9790.0
barabasi,3,10,35,0.07434139299891736,6,2771.0
barabasi,4,1,191,0.12660798916723087,8,4431.0
barabasi,4,2,399,0.38491602408365905,8,9467.0
barabasi,4,3,1263,0.6160270641716883,8,9459.0
barabasi,4,4,179,0.17837653478854024,8,5864.0
barabasi,4,5,1157,0.540328265028698,8,9931.0
barabasi,4,6,503,0.2825067850974587,8,8106.0
barabasi,4,7,511,0.4797595190380762,8,9980.0
barabasi,4,8,936,0.6758360917703459,8,8761.0
barabasi,4,9,1055,0.8183958298301665,8,5947.0
barabasi,4,10,439,0.39516635279347145,8,9558.0
barabasi,5,1,276,0.1755567063697566,10,5793.0
barabasi,5,2,2211,0.6018576497599666,10,9582.0
barabasi,5,3,17,0.03269961977186312,10,1315.0
barabasi,5,4,904,0.40347049044056527,10,9624.0
barabasi,5,5,352,0.21880941933596607,10,6837.0
barabasi,5,6,765,0.3545673076923077,10,9152.0
barabasi,5,7,1069,0.37177427990148837,10,9339.0
barabasi,5,8,1064,0.6069182389937107,10,9540.0
barabasi,5,9,18,0.0416156670746634,10,1634.0
barabasi,5,10,340,0.2192200963925807,10,6847.0
barabasi,6,1,968,0.27260118522254445,12,7931.0
barabasi,6,2,1431,0.636963339461447,12,9247.0
barabasi,6,3,637,0.4687154765491614,12,9957.0
barabasi,6,4,2425,0.6492422578519658,12,9106.0
barabasi,6,5,290,0.13519863306279367,12,4682.0
barabasi,6,6,857,0.36605603448275864,12,9280.0
barabasi,6,7,822,0.34473596811690466,12,9033.0
barabasi,6,8,254,0.16782966541420646,12,5589.0
barabasi,6,9,2099,0.5263316280469456,12,9969.0
barabasi,6,10,66,0.06804849432929214,12,2557.0
random,3,1,252,0.3023117960877297,6,8435.0
random,3,2,141,0.1902676399026764,6,6165.0
random,3,3,151,0.47995991983967934,6,9980.0
random,3,4,141,0.19447989789406508,6,6268.0
random,3,5,459,0.42208324789829815,6,9754.0
random,3,6,234,0.27887604127813004,6,8043.0
random,3,7,547,0.5144173007609131,6,9988.0
random,3,8,431,0.4563508064516129,6,9920.0
random,3,9,533,0.5406303494109355,6,9931.0
random,3,10,421,0.8584343538113828,6,4867.0
random,4,1,45,0.1681257816687511,8,5597.0
random,4,2,169,0.24520399891921102,8,7402.0
random,4,3,676,0.5348813831926015,8,9948.0
random,4,4,9,0.03350707371556218,8,1343.0
random,4,5,101,0.9574340527577938,8,1668.0
random,4,6,562,0.5461608313994551,8,9911.0
random,4,7,646,0.7508687516706762,8,7482.0
random,4,8,289,0.2999523696118123,8,8398.0
random,4,9,260,0.29288904986116143,8,8283.0
random,4,10,697,0.6113040732554468,8,9501.0
random,5,1,822,0.5269388983646032,10,9967.0
random,5,2,61,0.4528663706096084,10,9908.0
random,5,3,618,0.2684914067472947,10,7855.0
