type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,474,0.2927536231884058,6,8280.0
barabasi,3,2,889,0.3991657977059437,6,9590.0
barabasi,3,3,267,0.4078906492699596,6,9657.0
barabasi,3,4,309,0.5525996358486749,6,9886.0
barabasi,3,5,203,0.22270363951473138,6,6924.0
barabasi,3,6,499,0.3843796237581907,6,9462.0
barabasi,3,7,116,0.27943368107302535,6,8052.0
barabasi,3,8,255,0.8520206022187005,6,5048.0
barabasi,3,9,372,0.568777403895177,6,9807.0
barabasi,3,10,17,0.0778816199376947,6,2889.0
barabasi,4,1,110,0.12318003235498036,8,4327.0
barabasi,4,2,206,0.3793945831120552,8,9415.0
barabasi,4,3,832,0.6072140085980916,8,9537.0
barabasi,4,4,112,0.18065169677528278,8,5923.0
barabasi,4,5,740,0.5296656962152394,8,9961.0
barabasi,4,6,344,0.2785865372651487,8,8037.0
barabasi,4,7,259,0.4911438006604623,8,9993.0
barabasi,4,8,589,0.6747180129884927,8,8777.0
barabasi,4,9,699,0.814349479252769,8,6049.0
barabasi,4,10,274,0.41177077955601443,8,9685.0
barabasi,5,1,128,0.16741351496683993,10,5579.0
barabasi,5,2,1627,0.6019204675921094,10,9581.0
barabasi,5,3,16,0.04350382128159906,10,1701.0
barabasi,5,4,514,0.39510306581563254,10,9557.0
barabasi,5,5,180,0.2042448477391572,10,6502.0
barabasi,5,6,429,0.3456435205661212,10,9044.0
barabasi,5,7,753,0.37867998724625357,10,9409.0
barabasi,5,8,636,0.6118774349794672,10,9497.0
barabasi,5,9,4,0.022222222222222223,10,945.0
barabasi,5,10,167,0.21555292726197517,10,6764.0
barabasi,6,1,586,0.26769544700931003,12,7841.0
barabasi,6,2,814,0.6273398224409028,12,9349.0
barabasi,6,3,255,0.46861504469217635,12,9957.0
barabasi,6,4,1653,0.6447210394147833,12,9159.0
barabasi,6,5,177,0.13577356884443498,12,4699.0
barabasi,6,6,455,0.3601041892771869,12,9214.0
barabasi,6,7,432,0.34719770520741394,12,9064.0
