type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,125,0.2973470820472331,6,248.0
barabasi,3,2,65,0.3939356233710415,6,248.0
barabasi,3,3,38,0.4002473790119555,6,248.0
barabasi,3,4,22,0.5538566882662557,6,248.0
barabasi,3,5,61,0.22511945451036605,6,248.0
barabasi,3,6,36,0.38961146973153554,6,248.0
barabasi,3,7,28,0.2910288708960063,6,248.0
barabasi,3,8,32,0.8568551200414272,6,248.0
barabasi,3,9,26,0.5681148091608988,6,248.0
barabasi,3,10,25,0.07518414101235085,6,248.0
barabasi,4,1,631,0.12881053664088335,8,3152.0
barabasi,4,2,100,0.38281410539636623,8,3152.0
barabasi,4,3,464,0.613155679078318,8,3152.0
barabasi,4,4,127,0.17860104426914525,8,3152.0
barabasi,4,5,331,0.5336241467875007,8,3152.0
barabasi,4,6,348,0.2811205519071218,8,3152.0
barabasi,4,7,68,0.482468254664318,8,3152.0
barabasi,4,8,227,0.6763191398530138,8,3152.0
barabasi,4,9,224,0.8115709521772687,8,3152.0
barabasi,4,10,130,0.4073252647163285,8,3152.0
barabasi,5,1,2159,0.1707756108860574,10,40160.0
barabasi,5,2,6414,0.6020566830963399,10,40160.0
barabasi,5,3,1214,0.04508646928362451,10,40160.0
barabasi,5,4,3065,0.3993614074752204,10,40160.0
barabasi,5,5,3094,0.2083413657581009,10,40160.0
barabasi,5,6,3184,0.35041488690395417,10,40160.0
barabasi,5,7,4827,0.3681992045870611,10,40160.0
barabasi,5,8,3167,0.5987255737570346,10,40160.0
barabasi,5,9,604,0.03360567145983477,10,40160.0
barabasi,5,10,2129,0.2156076646371828,10,40160.0
barabasi,6,1,61640,0.27329483287006257,12,511808.0
barabasi,6,2,31149,0.6332994086830087,12,511808.0
barabasi,6,3,10404,0.4714012386913724,12,511808.0
barabasi,6,4,85395,0.6540782935426324,12,511808.0
barabasi,6,5,61613,0.13328563914702907,12,511808.0
barabasi,6,6,43330,0.36186119015196355,12,511808.0
barabasi,6,7,43410,0.34960612892715937,12,511808.0
barabasi,6,8,21869,0.16471748270875414,12,511808.0
barabasi,6,9,84941,0.5232111901977444,12,511808.0
barabasi,6,10,21684,0.0681678799210588,12,511808.0
random,3,1,8,0.2984483193248221,6,248.0
random,3,2,9,0.19168747150503965,6,248.0
random,3,3,9,0.47940441964126584,6,248.0
random,3,4,9,0.19157873713611484,6,248.0
random,3,5,13,0.4226682069228469,6,248.0
random,3,6,8,0.28574851876703455,6,248.0
random,3,7,13,0.5076781168955585,6,248.0
random,3,8,9,0.45200166557266214,6,248.0
random,3,9,8,0.5441142612313125,6,248.0
random,3,10,14,0.8577896674894689,6,248.0
random,4,1,68,0.17184630939551038,8,3152.0
random,4,2,112,0.25066559500958857,8,3152.0
random,4,3,115,0.5324986917755739,8,3152.0
random,4,4,114,0.02989337824101695,8,3152.0
random,4,5,168,0.9561923078533369,8,3152.0
random,4,6,121,0.5377059371440455,8,3152.0
random,4,7,231,0.7487342274486078,8,3152.0
random,4,8,142,0.3025897861207002,8,3152.0
random,4,9,111,0.302874323587399,8,3152.0
random,4,10,116,0.6000797381237372,8,3152.0
random,5,1,2183,0.5244459339990281,10,40160.0
random,5,2,608,0.4522558031891011,10,40160.0
random,5,3,3417,0.26435068648959154,10,40160.0
random,5,4,1063,0.3365187318244911,10,40160.0
random,5,5,3236,0.1999947114948911,10,40160.0
random,5,6,1081,0.1627922551397674,10,40160.0
random,5,7,1561,0.4223798402489829,10,40160.0
random,5,8,1052,0.630157695351155,10,40160.0
random,5,9,1565,0.31517041657225314,10,40160.0
random,5,10,1511,0.8552104121358001,10,40160.0
random,6,1,42916,0.3778332309611283,12,511808.0
random,6,2,16520,0.3548677706836715,12,511808.0
random,6,3,15921,0.3698541189220698,12,511808.0
