type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,172,0.2973470820472331,6,248.0
barabasi,3,2,47,0.39393562337104165,6,248.0
barabasi,3,3,42,0.40024737901195534,6,248.0
barabasi,3,4,36,0.5538566882662561,6,248.0
barabasi,3,5,74,0.22511945451036602,6,248.0
barabasi,3,6,40,0.38961146973153565,6,248.0
barabasi,3,7,32,0.2910288708960063,6,248.0
barabasi,3,8,33,0.8568551200414269,6,248.0
barabasi,3,9,31,0.568114809160899,6,248.0
barabasi,3,10,41,0.0751841410123508,6,248.0
barabasi,4,1,739,0.1288105366408838,8,3152.0
barabasi,4,2,190,0.382814105396366,8,3152.0
barabasi,4,3,595,0.6131556790783176,8,3152.0
barabasi,4,4,227,0.1786010442691452,8,3152.0
barabasi,4,5,559,0.5336241467875008,8,3152.0
barabasi,4,6,474,0.2811205519071217,8,3152.0
barabasi,4,7,150,0.48246825466431814,8,3152.0
barabasi,4,8,348,0.6763191398530136,8,3152.0
barabasi,4,9,354,0.8115709521772679,8,3152.0
barabasi,4,10,206,0.4073252647163287,8,3152.0
barabasi,5,1,3706,0.17077561088605656,10,40160.0
barabasi,5,2,8541,0.6020566830963388,10,40160.0
barabasi,5,3,2407,0.04508646928362452,10,40160.0
barabasi,5,4,5074,0.3993614074752216,10,40160.0
barabasi,5,5,5085,0.20834136575809986,10,40160.0
barabasi,5,6,5238,0.35041488690395406,10,40160.0
barabasi,5,7,6630,0.3681992045870629,10,40160.0
barabasi,5,8,5144,0.5987255737570351,10,40160.0
barabasi,5,9,1635,0.03360567145983462,10,40160.0
barabasi,5,10,3607,0.21560766463718192,10,40160.0
barabasi,6,1,88596,0.27329483287007417,12,511808.0
barabasi,6,2,56158,0.6332994086830225,12,511808.0
barabasi,6,3,28378,0.47140123869137074,12,511808.0
barabasi,6,4,122795,0.6540782935426265,12,511808.0
barabasi,6,5,93779,0.13328563914703045,12,511808.0
barabasi,6,6,78797,0.3618611901519643,12,511808.0
barabasi,6,7,78466,0.34960612892715887,12,511808.0
barabasi,6,8,43193,0.16471748270875253,12,511808.0
barabasi,6,9,123710,0.523211190197744,12,511808.0
barabasi,6,10,42569,0.06816787992105955,12,511808.0
random,3,1,11,0.2984483193248221,6,248.0
random,3,2,11,0.19168747150503962,6,248.0
random,3,3,10,0.4794044196412657,6,248.0
random,3,4,11,0.1915787371361149,6,248.0
random,3,5,21,0.422668206922847,6,248.0
random,3,6,14,0.2857485187670345,6,248.0
random,3,7,26,0.5076781168955585,6,248.0
random,3,8,13,0.45200166557266214,6,248.0
random,3,9,14,0.5441142612313123,6,248.0
random,3,10,19,0.8577896674894692,6,248.0
random,4,1,142,0.1718463093955103,8,3152.0
random,4,2,238,0.25066559500958874,8,3152.0
random,4,3,230,0.5324986917755741,8,3152.0
random,4,4,209,0.02989337824101694,8,3152.0
random,4,5,311,0.956192307853338,8,3152.0
random,4,6,226,0.5377059371440454,8,3152.0
random,4,7,331,0.7487342274486081,8,3152.0
random,4,8,217,0.3025897861207008,8,3152.0
random,4,9,234,0.30287432358739924,8,3152.0
random,4,10,222,0.6000797381237368,8,3152.0
random,5,1,4904,0.5244459339990296,10,40160.0
random,5,2,548,0.4522558031891019,10,40160.0
random,5,3,4775,0.2643506864895916,10,40160.0
random,5,4,2573,0.3365187318244919,10,40160.0
random,5,5,5529,0.19999471149489267,10,40160.0
random,5,6,2521,0.16279225513976756,10,40160.0
random,5,7,3754,0.4223798402489846,10,40160.0
random,5,8,2698,0.6301576953511581,10,40160.0
random,5,9,3749,0.31517041657225336,10,40160.0
random,5,10,3402,0.8552104121357981,10,40160.0
random,6,1,79417,0.37783323096113375,12,511808.0
random,6,2,39763,0.35486777068366765,12,511808.0
random,6,3,37978,0.3698541189220637,12,511808.0
random,6,4,52125,0.5870032642918492,12,511808.0
random,6,5,48610,0.4761121739960138,12,511808.0
random,6,6,51974,0.3680186129349769,12,511808.0
random,6,7,37016,0.06752957413657305,12,511808.0
random,6,8,49713,0.5436957254471384,12,511808.0
random,6,9,51846,0.5706326194263754,12,511808.0
random,6,10,36293,0.04645814173393652,12,511808.0
watts,3,1,25,0.8163508081867623,6,248.0
watts,3,2,31,0.6216856267294053,6,248.0
watts,3,3,36,0.4344098603538374,6,248.0
watts,3,4,50,0.7727222716795445,6,248.0
watts,3,5,43,0.828335550429477,6,248.0
watts,3,6,20,0.5322137889828376,6,248.0
watts,3,7,32,0.8698724251437076,6,248.0
watts,3,8,50,0.35405748240052404,6,248.0
watts,3,9,21,0.6476568602208381,6,248.0
watts,3,10,32,0.5168165402950978,6,248.0
watts,4,1,260,0.2030568489301098,8,3152.0
watts,4,2,486,0.47536246555207284,8,3152.0
watts,4,3,218,0.8078645655688202,8,3152.0
watts,4,4,475,0.20807164396273342,8,3152.0
watts,4,5,482,0.4121977884539738,8,3152.0
watts,4,6,358,0.2427499185659495,8,3152.0
watts,4,7,326,0.6518115221303561,8,3152.0
watts,4,8,440,0.46867016418481305,8,3152.0
watts,4,9,673,0.9966380158099022,8,3152.0
watts,4,10,465,0.845965883537797,8,3152.0
watts,5,1,2459,0.48314626809227884,10,40160.0
watts,5,2,2566,0.13103640762662938,10,40160.0
watts,5,3,4950,0.8028969438825593,10,40160.0
watts,5,4,7024,0.9097822300718568,10,40160.0
watts,5,5,2485,0.03744839751801311,10,40160.0
watts,5,6,2583,0.09895771571230369,10,40160.0
watts,5,7,8768,0.7564234418070807,10,40160.0
watts,5,8,3489,0.3746793189700979,10,40160.0
watts,5,9,2619,0.07016081433549105,10,40160.0
watts,5,10,7157,0.3257715136295362,10,40160.0
watts,6,1,91933,0.13964028658369104,12,511808.0
watts,6,2,89441,0.3208051376214317,12,511808.0
watts,6,3,70855,0.6463340894065138,12,511808.0
watts,6,4,74295,0.051854986690958484,12,511808.0
watts,6,5,39718,0.17847969512755102,12,511808.0
watts,6,6,59419,0.33378284817615056,12,511808.0
watts,6,7,39585,0.04699178326246314,12,511808.0
watts,6,8,77376,0.4627434724126349,12,511808.0
watts,6,9,71916,0.39287530540983157,12,511808.0
watts,6,10,157503,0.7687842953299532,12,511808.0
