type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,2,152,0.04902477596204533,4,1897.0
barabasi,3,1,163,0.011824324324324325,4,592.0
barabasi,3,5,874,0.11017811704834606,5,3930.0
barabasi,3,7,1028,0.05119107957425241,5,1973.0
barabasi,3,12,1046,0.06512006512006512,6,2457.0
barabasi,3,19,92,0.03828382838283828,4,1515.0
barabasi,3,10,1803,0.16340705538292816,4,5471.0
barabasi,3,8,1864,0.17731711495631317,4,5837.0
barabasi,3,13,1883,0.10934699103713189,5,3905.0
barabasi,3,23,150,0.2948039451527544,5,8314.0
barabasi,3,17,1849,0.28388683886838867,6,8130.0
barabasi,3,11,2053,0.1778879015721121,5,5852.0
barabasi,3,27,55,0.04288266825491364,5,1679.0
barabasi,3,28,23,0.02106430155210643,4,902.0
barabasi,3,15,2196,0.7909297052154195,5,6615.0
barabasi,3,24,793,0.18009478672985782,5,5908.0
barabasi,3,26,679,0.16672661870503597,6,5560.0
barabasi,3,25,739,0.15207283998450213,6,5162.0
barabasi,3,33,69,0.0778816199376947,5,2889.0
barabasi,3,20,2445,0.42246592190222404,4,9757.0
barabasi,3,31,1291,0.20783361165932898,4,6587.0
barabasi,3,6,4407,0.4154052105859335,6,9711.0
barabasi,3,30,2680,0.20968471866043142,5,6629.0
barabasi,3,37,495,0.41420179325981654,5,9703.0
barabasi,3,9,4975,0.3207070707070707,6,8712.0
barabasi,3,3,5071,0.8654093441920274,6,4666.0
barabasi,3,22,3376,0.5914924446284413,6,9662.0
barabasi,3,42,228,0.07224898110411264,5,2699.0
barabasi,3,4,5571,0.3868212967843964,5,9485.0
barabasi,3,43,360,0.09924728185112908,5,3587.0
barabasi,3,18,6059,0.7402158366922377,5,7691.0
barabasi,3,44,1463,0.7224438902743142,5,8020.0
barabasi,3,32,4466,0.4494643218111987,4,9894.0
barabasi,3,16,7073,0.7189704244524192,5,8081.0
barabasi,3,49,441,0.23811492352211658,6,7257.0
barabasi,3,34,4891,0.5492929292929293,6,9900.0
barabasi,3,50,27,0.021668472372697724,5,923.0
barabasi,3,51,459,0.19110751818916735,5,6185.0
barabasi,3,53,12,0.02794759825327511,4,1145.0
barabasi,3,29,6939,0.8785964912280702,5,4275.0
barabasi,3,48,2240,0.5541497975708503,5,9880.0
barabasi,3,40,5340,0.9281459419210722,5,2686.0
barabasi,3,57,298,0.09142685851318945,5,3336.0
barabasi,3,52,2955,0.354958497160332,6,9156.0
barabasi,3,38,6097,0.32474344355758267,5,8770.0
barabasi,3,56,1767,0.17693495795435044,5,5827.0
barabasi,3,60,368,0.16340705538292816,5,5471.0
barabasi,3,62,117,0.11003565970453388,6,3926.0
barabasi,3,54,3298,0.2937206219115343,5,8297.0
barabasi,3,47,4756,0.2701914542918727,5,7887.0
barabasi,3,59,1171,0.20256886412875272,5,6462.0
barabasi,3,55,2845,0.8899643402954661,6,3926.0
barabasi,3,36,8126,0.847192745514181,5,5183.0
barabasi,3,63,788,0.21442350497106397,4,6739.0
barabasi,3,67,386,0.738950097213221,5,7715.0
barabasi,3,70,1,0.006802721088435374,4,441.0
barabasi,3,35,8955,0.8378378378378378,6,5439.0
barabasi,3,14,13117,0.6012935530982683,5,9586.0
barabasi,3,66,1327,0.2332960581492871,5,7154.0
barabasi,3,46,6426,0.36802494355445653,6,9301.0
barabasi,3,41,9214,0.422568412421851,5,9757.0
barabasi,3,73,1190,0.2567160267330625,5,7631.0
barabasi,3,21,13251,0.7032953864589575,6,8345.0
barabasi,3,64,3027,0.8848885623316189,5,4083.0
barabasi,3,79,35,0.03652653342522398,4,1451.0
barabasi,3,61,3595,0.7890941865705272,6,6657.0
barabasi,3,78,503,0.24153930131004367,4,7328.0
barabasi,3,72,2635,0.30844079718640094,5,8530.0
barabasi,3,69,2902,0.3309238762141405,4,8854.0
barabasi,3,75,2374,0.3634889753566796,5,9252.0
