type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,33,0.0,4,279.0
barabasi,3,2,35,0.04735982580293958,4,1837.0
barabasi,3,3,1218,0.8465384615384616,6,5200.0
barabasi,3,4,405,0.3747465044295015,5,9369.0
barabasi,3,5,18,0.11939235699026822,5,4213.0
barabasi,3,6,288,0.4095139607032058,6,9670.0
barabasi,3,7,2,0.0,5,278.0
barabasi,3,8,74,0.18215363971821535,4,5962.0
barabasi,3,9,253,0.314023682377525,6,8614.0
barabasi,3,10,53,0.16542986425339368,4,5525.0
barabasi,3,11,75,0.18760249262053133,5,6098.0
barabasi,3,12,9,0.04848161960575386,6,1877.0
barabasi,3,13,65,0.10782789009849664,5,3858.0
barabasi,3,14,788,0.5901571546732837,5,9672.0
barabasi,3,15,73,0.7885191846522782,5,6672.0
barabasi,3,16,407,0.7284793325748957,5,7911.0
barabasi,3,17,67,0.28693633141879504,6,8183.0
barabasi,3,18,398,0.7440273037542662,5,7618.0
barabasi,3,19,4,0.035,4,1400.0
barabasi,3,20,156,0.42525324874654663,4,9773.0
barabasi,3,21,873,0.6973107451723729,6,8441.0
barabasi,3,22,234,0.5923777961888981,6,9656.0
barabasi,3,23,18,0.29875865361661497,5,8378.0
barabasi,3,24,62,0.19310344827586207,5,6235.0
barabasi,3,25,50,0.15346153846153845,6,5200.0
barabasi,3,26,46,0.16612554112554112,6,5544.0
barabasi,3,27,5,0.055293005671077505,5,2116.0
barabasi,3,28,6,0.019138755980861243,4,836.0
barabasi,3,29,437,0.8815097945532728,5,4186.0
barabasi,3,30,184,0.2131465196005366,5,6709.0
barabasi,3,31,76,0.195195672923958,4,6286.0
barabasi,3,32,295,0.4480736171503691,4,9889.0
barabasi,3,33,6,0.08127914723517655,5,3002.0
barabasi,3,34,328,0.5553980149888597,6,9874.0
barabasi,3,35,565,0.8479271600154978,6,5162.0
barabasi,3,36,525,0.8525730180806675,5,5033.0
barabasi,3,37,34,0.4187217427044801,5,9732.0
barabasi,3,38,389,0.323546212727065,5,8753.0
barabasi,3,39,759,0.7217380478087649,5,8032.0
barabasi,3,40,348,0.9317472698907956,5,2564.0
barabasi,3,41,587,0.4158344486770308,5,9713.0
barabasi,3,42,20,0.08472400513478819,5,3116.0
barabasi,3,43,28,0.1069937369519833,5,3832.0
barabasi,3,44,100,0.7232075943042718,5,8006.0
barabasi,3,45,842,0.621213731533638,6,9409.0
barabasi,3,46,409,0.3662320870595841,6,9281.0
barabasi,3,47,314,0.2732309242004533,5,7942.0
barabasi,3,48,157,0.5625,5,9840.0
barabasi,3,49,27,0.23403068340306835,6,7170.0
barabasi,3,50,3,0.016238159675236806,5,739.0
barabasi,3,51,27,0.1784557695585478,5,5867.0
barabasi,3,52,192,0.34593280282935457,6,9048.0
barabasi,3,53,2,0.002932551319648094,4,341.0
barabasi,3,54,209,0.297907949790795,5,8365.0
barabasi,3,55,190,0.8863298662704309,6,4038.0
barabasi,3,56,107,0.17777777777777778,5,5850.0
barabasi,3,57,23,0.09316037735849056,5,3392.0
barabasi,3,58,608,0.5333601286173634,6,9952.0
barabasi,3,59,89,0.2141690182682311,5,6733.0
barabasi,3,60,25,0.1724439775910364,5,5712.0
barabasi,3,61,238,0.782493758261125,6,6809.0
barabasi,3,62,10,0.10874035989717223,6,3890.0
barabasi,3,63,50,0.21869514335868928,4,6836.0
barabasi,3,64,185,0.8956776947705443,5,3748.0
barabasi,3,65,695,0.4960984393757503,6,9996.0
barabasi,3,66,82,0.2251826385904598,5,6981.0
barabasi,3,67,25,0.7458454233711421,5,7582.0
barabasi,3,68,504,0.39636249608027596,5,9567.0
barabasi,3,69,192,0.32746678778244576,4,8807.0
barabasi,3,70,2,0.005076142131979695,4,394.0
barabasi,3,71,225,0.8375252432531669,6,5447.0
barabasi,3,72,170,0.3077464788732394,5,8520.0
barabasi,3,73,76,0.24906417112299464,5,7480.0
barabasi,3,74,355,0.8178463602817846,5,5962.0
barabasi,3,75,147,0.35449677630860016,5,9151.0
barabasi,3,76,532,0.41177077955601443,6,9685.0
barabasi,3,77,285,0.45798911948418297,4,9926.0
barabasi,3,78,34,0.23410485220301172,4,7172.0
barabasi,3,79,3,0.030620467365028204,4,1241.0
barabasi,3,80,336,0.30079657591249553,5,8411.0
barabasi,3,81,162,0.5831275720164609,6,9720.0
barabasi,3,82,819,0.7579721995094031,6,7338.0
barabasi,3,83,138,0.17837653478854024,4,5864.0
barabasi,3,84,42,0.21786971830985916,5,6816.0
barabasi,3,85,129,0.9033086138049059,5,3506.0
barabasi,3,86,249,0.7071963293890364,5,8282.0
barabasi,3,87,146,0.5443637830207703,5,9918.0
barabasi,3,88,687,0.7019242261264491,4,8367.0
barabasi,3,89,263,0.5264847512038523,4,9968.0
barabasi,3,90,6,0.06512006512006512,5,2457.0
barabasi,3,91,6,0.0686578743211792,4,2578.0
barabasi,3,92,13,0.11732112743917128,5,4151.0
barabasi,3,93,11,0.16642651296829972,5,5552.0
barabasi,3,94,163,0.39480845719070545,4,9554.0
barabasi,3,95,812,0.7500666844491864,6,7498.0
barabasi,3,96,9,0.06382096974720265,4,2413.0
barabasi,3,97,149,0.43276283618581907,5,9816.0
barabasi,3,98,5,0.04472477064220184,4,1744.0
barabasi,3,99,53,0.3448085012176223,4,9034.0
barabasi,3,100,249,0.23664544699695544,4,7226.0
barabasi,4,1,345,0.4471421345472939,7,9885.0
barabasi,4,2,3,0.0,6,278.0
barabasi,4,3,2,0.008281573498964804,7,483.0
barabasi,4,4,427,0.35509936667394626,6,9158.0
barabasi,4,5,41,0.0956221198156682,8,3472.0
barabasi,4,6,188,0.20238463920718489,6,6458.0
barabasi,4,7,3,0.016238159675236806,6,739.0
barabasi,4,8,593,0.4746765620298867,6,9971.0
barabasi,4,9,76,0.19702954653183757,7,6329.0
barabasi,4,10,6,0.028862478777589132,6,1178.0
barabasi,4,11,272,0.24889661628995585,7,7477.0
barabasi,4,12,711,0.5751714256473237,8,9771.0
barabasi,4,13,4,0.03718728870858688,5,1479.0
barabasi,4,14,53,0.15186190845616757,7,5156.0
barabasi,4,15,12,0.07563920454545454,5,2816.0
barabasi,4,16,5,0.01979045401629802,5,859.0
barabasi,4,17,67,0.29782400765184125,6,8364.0
barabasi,4,18,2,0.0029154518950437317,5,343.0
barabasi,4,19,637,0.27943368107302535,7,8052.0
barabasi,4,20,731,0.5363032984714401,6,9944.0
barabasi,4,21,6,0.03755868544600939,6,1491.0
barabasi,4,22,2,0.0,5,278.0
barabasi,4,23,33,0.242201334967988,5,7341.0
