type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,1450,0.6506766420948399,6,9089.0
barabasi,3,2,1063,0.7658951477969883,6,7172.0
barabasi,3,3,612,0.7612104539202201,6,7270.0
barabasi,3,4,88,0.19971848608070067,6,6394.0
barabasi,3,5,482,0.8116723884256989,6,6117.0
barabasi,3,6,341,0.924140375753279,6,2821.0
barabasi,3,7,856,0.44765854151916656,6,9887.0
barabasi,3,8,12,0.048754636989931106,6,1887.0
barabasi,3,9,681,0.5128128128128128,6,9990.0
barabasi,3,10,64,0.1510132501948558,6,5132.0
barabasi,4,1,596,0.3172477487878088,8,8662.0
barabasi,4,2,11,0.02931323283082077,8,1194.0
barabasi,4,3,117,0.11976331360946746,8,4225.0
barabasi,4,4,88,0.1490744387554155,8,5078.0
barabasi,4,5,338,0.35428508963707916,8,9148.0
barabasi,4,6,931,0.5570646665315224,8,9866.0
barabasi,4,7,264,0.18982610108889972,8,6153.0
barabasi,4,8,684,0.35449677630860016,8,9151.0
barabasi,4,9,185,0.31233993015133876,8,8590.0
barabasi,4,10,243,0.25629590766002097,8,7624.0
barabasi,5,1,1008,0.45193861066235863,10,9904.0
barabasi,5,2,323,0.39991664061685944,10,9597.0
barabasi,5,3,44,0.07566607460035524,10,2815.0
barabasi,5,4,83,0.12867319679430098,10,4492.0
barabasi,5,5,97,0.1303677604051971,10,4541.0
barabasi,5,6,1585,0.7787610619469026,10,6893.0
barabasi,5,7,764,0.7768964522642053,10,6934.0
barabasi,5,8,781,0.37824330072309653,10,9404.0
barabasi,5,9,161,0.24358800379970144,10,7369.0
barabasi,5,10,46,0.08110814419225634,10,2996.0
random,3,1,271,0.34046107584363516,6,8979.0
random,3,2,62,0.11811212266411117,6,4174.0
random,3,3,120,0.34331669439822515,6,9015.0
random,3,4,438,0.7671424573187797,6,7146.0
random,3,5,232,0.27972201538843383,6,8058.0
random,3,6,497,0.8337840274021994,6,5547.0
random,3,7,194,0.9374735952682721,6,2367.0
random,3,8,56,0.13577356884443498,6,4699.0
random,3,9,226,0.48106591865357645,6,9982.0
random,3,10,391,0.5175280448717948,6,9984.0
random,4,1,631,0.6775005722133212,8,8738.0
random,4,2,979,0.5537901022163748,8,9881.0
random,4,3,129,0.17632891794254257,8,5813.0
random,4,4,517,0.43582180634662326,8,9832.0
random,4,5,393,0.3707118353344768,8,9328.0
random,4,6,466,0.41050020669698223,8,9676.0
random,4,7,606,0.8011925309901146,8,6373.0
random,4,8,598,0.48873986587929136,8,9991.0
random,4,9,768,0.6157911425853504,8,9461.0
random,4,10,226,0.24815757738174996,8,7463.0
random,5,1,199,0.20512034340027593,10,6523.0
random,5,2,429,0.33850792941702035,10,8954.0
random,5,3,161,0.16612554112554112,10,5544.0
random,5,4,570,0.43540183112919634,10,9830.0
random,5,5,800,0.6898445716956877,10,8557.0
random,5,6,41,0.07473948975925261,10,2783.0
random,5,7,62,0.0609597924773022,10,2313.0
random,5,8,1206,0.6771131190666819,10,8743.0
random,5,9,138,0.195195672923958,10,6286.0
random,5,10,36,0.07338444687842278,10,2739.0
watts,3,1,561,0.7936507936507936,6,6552.0
watts,3,2,317,0.9668924003009782,6,1329.0
watts,3,3,1017,0.6459267359212685,6,9145.0
watts,3,4,1127,0.48793914523070764,6,9991.0
watts,3,5,838,0.6153846153846154,6,9464.0
watts,3,6,1438,0.6272727272727273,6,9350.0
watts,3,7,857,0.5452344931921331,6,9915.0
watts,3,8,365,0.448690728945506,6,9891.0
watts,3,9,1398,0.5541497975708503,6,9880.0
watts,3,10,530,0.9087361152806965,6,3331.0
watts,4,1,734,0.3441896532624349,8,9027.0
watts,4,2,1329,0.49759903961584634,8,9996.0
watts,4,3,67,0.144014583755317,8,4937.0
watts,4,4,584,0.29845933357219634,8,8373.0
watts,4,5,677,0.4939469734867434,8,9995.0
watts,4,6,1388,0.6153195985208664,8,9465.0
watts,4,7,169,0.20616982284667074,8,6548.0
watts,4,8,1261,0.7231172723866617,8,8007.0
watts,4,9,1476,0.61077214390911,8,9506.0
watts,4,10,710,0.30864776189360205,8,8534.0
watts,5,1,1491,0.46283070113670655,10,9941.0
watts,5,2,299,0.1941204665281994,10,6259.0
watts,5,3,17,0.04130702836004932,10,1622.0
watts,5,4,1190,0.6136483493302394,10,9481.0
watts,5,5,250,0.17712620027434842,10,5832.0
watts,5,6,479,0.26324610029650636,10,7757.0
watts,5,7,500,0.263963963963964,10,7770.0
watts,5,8,952,0.757798665032012,10,7341.0
watts,5,9,48,0.07640845070422535,10,2840.0
watts,5,10,576,0.6363734601253512,10,9254.0
