type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,1386,0.6435190232203205,6,9173.0
barabasi,3,2,804,0.7653856864383181,6,7182.0
barabasi,3,3,483,0.7519099316445517,6,7461.0
barabasi,3,4,48,0.2094217122150083,6,6623.0
barabasi,3,5,296,0.8146309169149288,6,6042.0
barabasi,3,6,238,0.9297379415115837,6,2633.0
barabasi,3,7,599,0.44569288389513106,6,9879.0
barabasi,3,8,5,0.03861256544502618,6,1528.0
barabasi,3,9,474,0.5060530265132567,6,9995.0
barabasi,3,10,26,0.13725490196078433,6,4743.0
barabasi,4,1,381,0.3176837005421617,8,8669.0
barabasi,4,2,2,0.009578544061302681,8,522.0
barabasi,4,3,59,0.11247188202949263,8,4001.0
barabasi,4,4,41,0.14314803502341683,8,4911.0
barabasi,4,5,143,0.3504339228825662,8,9103.0
barabasi,4,6,610,0.5558144246353323,8,9872.0
barabasi,4,7,188,0.20670731707317072,8,6560.0
barabasi,4,8,419,0.3556307289393278,8,9164.0
barabasi,4,9,88,0.3135455390334573,8,8608.0
barabasi,4,10,106,0.25835073068893527,8,7664.0
barabasi,5,1,610,0.4540960451977401,10,9912.0
barabasi,5,2,124,0.40655125945889914,10,9647.0
barabasi,5,3,14,0.07434139299891736,10,2771.0
barabasi,5,4,30,0.13047304730473047,10,4545.0
barabasi,5,5,35,0.12565326062258578,10,4401.0
barabasi,5,6,1107,0.7841949778434268,10,6770.0
barabasi,5,7,355,0.7767046273605305,10,6937.0
barabasi,5,8,464,0.37586611235475964,10,9381.0
barabasi,5,9,61,0.2361746361746362,10,7215.0
barabasi,5,10,14,0.07126781695423856,10,2666.0
random,3,1,153,0.3358744394618834,6,8920.0
random,3,2,25,0.10187959684009806,6,3671.0
random,3,3,58,0.34433492081072103,6,9029.0
random,3,4,302,0.7596877995344379,6,7303.0
random,3,5,130,0.2718201338890994,6,7917.0
random,3,6,322,0.8302020560085076,6,5642.0
random,3,7,133,0.9399649430324277,6,2282.0
random,3,8,27,0.1262443438914027,6,4420.0
random,3,9,140,0.4769924812030075,6,9975.0
random,3,10,239,0.512912912912913,6,9990.0
random,4,1,372,0.6706668176157591,8,8833.0
random,4,2,723,0.5504800404244568,8,9895.0
random,4,3,67,0.17430555555555555,8,5760.0
random,4,4,286,0.43949238578680205,8,9850.0
random,4,5,215,0.37159991432855,8,9338.0
random,4,6,263,0.4175835475578406,8,9725.0
random,4,7,357,0.7995010913626442,8,6414.0
random,4,8,329,0.48387742839975967,8,9986.0
random,4,9,411,0.6248799743945375,8,9373.0
random,4,10,128,0.2535341524639979,8,7569.0
random,5,1,88,0.19801668503069417,10,6353.0
random,5,2,194,0.3427683427683428,10,9009.0
random,5,3,63,0.16660669305505577,10,5558.0
random,5,4,276,0.4389723801787165,10,9848.0
random,5,5,399,0.6929133858267716,10,8509.0
random,5,6,15,0.07510729613733906,10,2796.0
random,5,7,23,0.05173279758915118,10,1991.0
random,5,8,825,0.6752565564424173,10,8770.0
random,5,9,57,0.19971848608070067,10,6394.0
random,5,10,11,0.06987399770904926,10,2619.0
watts,3,1,369,0.7778903197800607,6,6911.0
watts,3,2,261,0.9689490445859873,6,1256.0
watts,3,3,882,0.6423206705126809,6,9187.0
watts,3,4,953,0.5006002400960384,6,9996.0
watts,3,5,668,0.6182453909726637,6,9438.0
watts,3,6,1221,0.6230433393674795,6,9391.0
watts,3,7,691,0.544107268877911,6,9919.0
watts,3,8,196,0.44470326108973063,6,9874.0
watts,3,9,1150,0.5384383175689273,6,9938.0
watts,3,10,444,0.9057484680478552,6,3427.0
watts,4,1,546,0.3406813627254509,8,8982.0
watts,4,2,1029,0.48873986587929136,8,9991.0
watts,4,3,37,0.14168377823408623,8,4870.0
watts,4,4,426,0.29441502166586425,8,8308.0
watts,4,5,492,0.499499799919968,8,9996.0
watts,4,6,1056,0.603637503919724,8,9567.0
watts,4,7,94,0.20512034340027593,8,6523.0
watts,4,8,998,0.7294147453762351,8,7894.0
watts,4,9,1175,0.6085450346420324,8,9526.0
watts,4,10,580,0.3161790216259975,8,8647.0
watts,5,1,949,0.4587571759492396,10,9929.0
watts,5,2,176,0.1955830950111217,10,6294.0
watts,5,3,5,0.025998142989786442,10,1077.0
watts,5,4,710,0.6242004264392325,10,9380.0
watts,5,5,125,0.16950656727014554,10,5634.0
watts,5,6,282,0.2641193876238261,10,7773.0
watts,5,7,275,0.26246447946267115,10,7742.0
watts,5,8,618,0.761387092335214,10,7267.0
watts,5,9,11,0.05934455270150576,10,2258.0
watts,5,10,341,0.6324905863367402,10,9295.0
