type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,142,0.6449962370750298,6,248.0
barabasi,3,2,77,0.762665998403169,6,248.0
barabasi,3,3,44,0.7611348607655257,6,248.0
barabasi,3,4,22,0.20479493368384932,6,248.0
barabasi,3,5,24,0.8076101444156878,6,248.0
barabasi,3,6,35,0.9298346965848662,6,248.0
barabasi,3,7,42,0.44500382854951853,6,248.0
barabasi,3,8,27,0.04604504713687477,6,248.0
barabasi,3,9,53,0.5086401795970994,6,248.0
barabasi,3,10,13,0.14436595142192857,6,248.0
barabasi,4,1,447,0.31745529539418543,8,3152.0
barabasi,4,2,403,0.03576230120216494,8,3152.0
barabasi,4,3,344,0.12084811880226995,8,3152.0
barabasi,4,4,133,0.14675289577459644,8,3152.0
barabasi,4,5,66,0.3581623074769145,8,3152.0
barabasi,4,6,224,0.5584724371791021,8,3152.0
barabasi,4,7,225,0.20777364072750512,8,3152.0
barabasi,4,8,128,0.3530192099428265,8,3152.0
barabasi,4,9,67,0.314750271949088,8,3152.0
barabasi,4,10,63,0.2562633606331224,8,3152.0
barabasi,5,1,3149,0.4521630005416862,10,40160.0
barabasi,5,2,682,0.4023271585802193,10,40160.0
barabasi,5,3,1057,0.07152970741333275,10,40160.0
barabasi,5,4,1021,0.13300854434602746,10,40160.0
barabasi,5,5,622,0.12874157841155565,10,40160.0
barabasi,5,6,4787,0.7830653435214862,10,40160.0
barabasi,5,7,1040,0.7813643594575863,10,40160.0
barabasi,5,8,2176,0.3762594733545736,10,40160.0
barabasi,5,9,638,0.2392374512040058,10,40160.0
barabasi,5,10,622,0.0769932675114381,10,40160.0
random,3,1,8,0.3406530851282557,6,248.0
random,3,2,13,0.11188368907786488,6,248.0
random,3,3,9,0.3434470544875917,6,248.0
random,3,4,8,0.7616683346988872,6,248.0
random,3,5,14,0.27662697155989496,6,248.0
random,3,6,9,0.8321603430593415,6,248.0
random,3,7,13,0.9388552650539171,6,248.0
random,3,8,8,0.13655491029183597,6,248.0
random,3,9,8,0.47971888333876206,6,248.0
random,3,10,8,0.5154220769895143,6,248.0
random,4,1,112,0.67393653310005,8,3152.0
random,4,2,236,0.5476853317708624,8,3152.0
random,4,3,110,0.1765402068686608,8,3152.0
random,4,4,65,0.4430067315161716,8,3152.0
random,4,5,111,0.3678541223758266,8,3152.0
random,4,6,112,0.4155336002800286,8,3152.0
random,4,7,116,0.8074327095028059,8,3152.0
random,4,8,115,0.49224669653109226,8,3152.0
random,4,9,172,0.6227055536728602,8,3152.0
random,4,10,111,0.25071961954469196,8,3152.0
random,5,1,1051,0.20539097324882638,10,40160.0
random,5,2,1531,0.3409293898644322,10,40160.0
random,5,3,1550,0.16940974519478982,10,40160.0
random,5,4,1529,0.4345705177917979,10,40160.0
random,5,5,2140,0.6867303586305387,10,40160.0
random,5,6,1054,0.07336733397069171,10,40160.0
random,5,7,3313,0.06227274452108968,10,40160.0
random,5,8,3069,0.6771140708617847,10,40160.0
random,5,9,1069,0.20062680136553537,10,40160.0
random,5,10,1080,0.07363721361114531,10,40160.0
watts,3,1,14,0.7882157292374198,6,248.0
watts,3,2,41,0.9657897907614886,6,248.0
watts,3,3,38,0.6411014108062568,6,248.0
watts,3,4,39,0.49402436997249777,6,248.0
watts,3,5,26,0.613899762646412,6,248.0
watts,3,6,38,0.6242821273575764,6,248.0
watts,3,7,28,0.5501371841466962,6,248.0
watts,3,8,14,0.44552927541650766,6,248.0
watts,3,9,37,0.5495664160386501,6,248.0
watts,3,10,25,0.9057703120505953,6,248.0
watts,4,1,346,0.33879303442016867,8,3152.0
watts,4,2,350,0.4962582086261121,8,3152.0
watts,4,3,227,0.1438474997321416,8,3152.0
watts,4,4,348,0.29323295375688896,8,3152.0
watts,4,5,230,0.49948027151343705,8,3152.0
watts,4,6,363,0.6026141222391224,8,3152.0
watts,4,7,112,0.2069032363268876,8,3152.0
watts,4,8,337,0.7316500882953131,8,3152.0
watts,4,9,350,0.6107444372718084,8,3152.0
watts,4,10,357,0.30239644686591927,8,3152.0
watts,5,1,4739,0.4618638488153171,10,40160.0
watts,5,2,3162,0.19418767391278485,10,40160.0
watts,5,3,1073,0.03846834470104299,10,40160.0
watts,5,4,3051,0.6208682607946641,10,40160.0
watts,5,5,3158,0.17648586967763927,10,40160.0
watts,5,6,3171,0.27076861931386964,10,40160.0
watts,5,7,2175,0.26577089349717714,10,40160.0
watts,5,8,3131,0.7695388520940476,10,40160.0
watts,5,9,1058,0.07410438034269654,10,40160.0
watts,5,10,2198,0.6306842298845509,10,40160.0
