type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,191,0.6449962370750298,6,248.0
barabasi,3,2,107,0.7626659984031685,6,248.0
barabasi,3,3,42,0.7611348607655258,6,248.0
barabasi,3,4,24,0.20479493368384927,6,248.0
barabasi,3,5,31,0.8076101444156879,6,248.0
barabasi,3,6,83,0.9298346965848666,6,248.0
barabasi,3,7,83,0.4450038285495184,6,248.0
barabasi,3,8,92,0.04604504713687477,6,248.0
barabasi,3,9,55,0.5086401795970996,6,248.0
barabasi,3,10,28,0.1443659514219287,6,248.0
barabasi,4,1,514,0.31745529539418543,8,3152.0
barabasi,4,2,401,0.03576230120216495,8,3152.0
barabasi,4,3,542,0.1208481188022699,8,3152.0
barabasi,4,4,237,0.14675289577459633,8,3152.0
barabasi,4,5,142,0.3581623074769147,8,3152.0
barabasi,4,6,353,0.5584724371791012,8,3152.0
barabasi,4,7,344,0.20777364072750523,8,3152.0
barabasi,4,8,206,0.3530192099428275,8,3152.0
barabasi,4,9,142,0.3147502719490884,8,3152.0
barabasi,4,10,133,0.25626336063312205,8,3152.0
barabasi,5,1,5051,0.45216300054168673,10,40160.0
barabasi,5,2,1620,0.4023271585802193,10,40160.0
barabasi,5,3,2508,0.07152970741333263,10,40160.0
barabasi,5,4,2367,0.13300854434602685,10,40160.0
barabasi,5,5,1635,0.1287415784115561,10,40160.0
barabasi,5,6,6513,0.7830653435214864,10,40160.0
barabasi,5,7,2507,0.7813643594575805,10,40160.0
barabasi,5,8,3719,0.37625947335457116,10,40160.0
barabasi,5,9,1684,0.2392374512040054,10,40160.0
barabasi,5,10,1584,0.07699326751143822,10,40160.0
random,3,1,12,0.3406530851282555,6,248.0
random,3,2,19,0.11188368907786486,6,248.0
random,3,3,11,0.34344705448759166,6,248.0
random,3,4,12,0.7616683346988875,6,248.0
random,3,5,17,0.2766269715598951,6,248.0
random,3,6,12,0.8321603430593415,6,248.0
random,3,7,18,0.9388552650539176,6,248.0
random,3,8,11,0.13655491029183595,6,248.0
random,3,9,10,0.47971888333876206,6,248.0
random,3,10,12,0.5154220769895141,6,248.0
random,4,1,216,0.6739365331000496,8,3152.0
random,4,2,318,0.5476853317708625,8,3152.0
random,4,3,209,0.17654020686866054,8,3152.0
random,4,4,133,0.4430067315161717,8,3152.0
random,4,5,211,0.367854122375827,8,3152.0
random,4,6,208,0.41553360028002867,8,3152.0
random,4,7,215,0.8074327095028055,8,3152.0
random,4,8,220,0.4922466965310927,8,3152.0
random,4,9,292,0.6227055536728572,8,3152.0
random,4,10,198,0.25071961954469185,8,3152.0
random,5,1,2334,0.20539097324882732,10,40160.0
random,5,2,3346,0.34092938986443294,10,40160.0
random,5,3,3324,0.1694097451947891,10,40160.0
random,5,4,3314,0.43457051779179734,10,40160.0
random,5,5,4359,0.6867303586305407,10,40160.0
random,5,6,2495,0.07336733397069185,10,40160.0
random,5,7,4937,0.062272744521089746,10,40160.0
random,5,8,4832,0.6771140708617803,10,40160.0
random,5,9,2443,0.20062680136553598,10,40160.0
random,5,10,2173,0.07363721361114539,10,40160.0
watts,3,1,20,0.7882157292374197,6,248.0
watts,3,2,42,0.965789790761489,6,248.0
watts,3,3,42,0.641101410806257,6,248.0
watts,3,4,42,0.49402436997249766,6,248.0
watts,3,5,28,0.6138997626464118,6,248.0
watts,3,6,42,0.6242821273575767,6,248.0
watts,3,7,37,0.550137184146696,6,248.0
watts,3,8,25,0.4455292754165076,6,248.0
watts,3,9,52,0.54956641603865,6,248.0
watts,3,10,34,0.9057703120505955,6,248.0
watts,4,1,460,0.3387930344201682,8,3152.0
watts,4,2,460,0.49625820862611175,8,3152.0
watts,4,3,348,0.14384749973214156,8,3152.0
watts,4,4,454,0.29323295375688924,8,3152.0
watts,4,5,307,0.4994802715134371,8,3152.0
watts,4,6,465,0.6026141222391234,8,3152.0
watts,4,7,204,0.20690323632688767,8,3152.0
watts,4,8,442,0.7316500882953141,8,3152.0
watts,4,9,449,0.6107444372718097,8,3152.0
watts,4,10,465,0.3023964468659192,8,3152.0
watts,5,1,7015,0.4618638488153186,10,40160.0
watts,5,2,5181,0.19418767391278358,10,40160.0
watts,5,3,2511,0.038468344701042864,10,40160.0
watts,5,4,5051,0.6208682607946588,10,40160.0
watts,5,5,5002,0.17648586967763877,10,40160.0
watts,5,6,5119,0.2707686193138694,10,40160.0
watts,5,7,3776,0.2657708934971779,10,40160.0
watts,5,8,5078,0.7695388520940496,10,40160.0
watts,5,9,2456,0.0741043803426965,10,40160.0
watts,5,10,3709,0.6306842298845505,10,40160.0
