type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,1079,0.9716137684398748,5,4474.0
barabasi,3,2,2804,0.7933295216314085,6,26235.0
barabasi,3,3,1437,0.9163544551229842,5,12278.0
barabasi,3,4,174,0.20039783142868287,5,25639.0
barabasi,3,5,151,0.27072715185665897,5,31589.0
barabasi,3,6,126,0.14146818251967694,5,19439.0
barabasi,3,7,9,0.029626449119793903,5,4658.0
barabasi,3,8,633,0.38497888067581837,5,37880.0
barabasi,3,9,61,0.09380738999485785,5,13613.0
barabasi,3,10,1149,0.3613390753229869,4,36921.0
barabasi,3,11,2938,0.7536695394559655,5,29704.0
barabasi,3,12,878,0.3434234234234234,4,36075.0
barabasi,3,13,1670,0.38610832761985125,6,37922.0
barabasi,3,14,2855,0.7773244267918397,5,27695.0
barabasi,3,15,85,0.1752216216216216,5,23125.0
barabasi,3,16,882,0.40006250162764656,4,38399.0
barabasi,3,17,538,0.19282043045293928,5,24904.0
barabasi,3,18,1121,0.41398500502408986,5,38813.0
barabasi,3,19,144,0.12569641841955656,6,17590.0
barabasi,3,20,94,0.06769443620911157,4,10119.0
barabasi,3,21,577,0.17753049432912477,4,23365.0
barabasi,3,22,827,0.7338090362216818,5,31252.0
barabasi,3,23,2254,0.522007064305218,4,39919.0
barabasi,3,24,1290,0.6942988397432122,4,33958.0
barabasi,3,25,3199,0.6639679515912147,5,35696.0
barabasi,3,26,582,0.5440709570125485,5,39686.0
barabasi,3,27,39,0.13913088841358442,4,19169.0
barabasi,3,28,1292,0.8086928421392794,5,24756.0
barabasi,3,29,3247,0.6082736549408463,6,38121.0
barabasi,3,30,305,0.44902857431595966,4,39581.0
barabasi,3,31,1323,0.9258888787851233,5,10997.0
barabasi,3,32,98,0.5344788605019217,5,39807.0
barabasi,3,33,65,0.10602266736953084,4,15176.0
barabasi,3,34,608,0.8722938867077958,4,17830.0
barabasi,3,35,253,0.7620196450112011,5,29015.0
barabasi,3,36,2319,0.4493116079322976,6,39585.0
barabasi,3,37,909,0.36042948943900655,5,36881.0
barabasi,3,38,1495,0.540391584457419,5,39736.0
barabasi,3,39,3362,0.6416843364323384,5,36786.0
barabasi,3,40,2734,0.7368098752699261,5,31027.0
barabasi,3,41,1096,0.41524442041856513,6,38847.0
barabasi,3,42,217,0.10497274298630502,5,15042.0
barabasi,3,43,3151,0.5599157830652934,5,39422.0
barabasi,3,44,243,0.21824975273819555,6,27299.0
barabasi,3,45,391,0.22307969707897585,5,27730.0
barabasi,3,46,1140,0.3179617246944893,4,34696.0
barabasi,3,47,747,0.9428637520240574,6,8646.0
barabasi,3,48,293,0.904233071320401,6,13867.0
barabasi,3,49,1365,0.48854312587552534,5,39976.0
barabasi,3,50,19,0.04740250792338432,5,7257.0
barabasi,3,51,25,0.11178209725105366,4,15897.0
barabasi,3,52,986,0.2486367133919909,5,29891.0
barabasi,3,53,897,0.4112453531598513,6,38736.0
barabasi,3,54,267,0.19389019952816985,5,25009.0
barabasi,3,55,12,0.040549169859514685,4,6264.0
barabasi,3,56,13,0.05304908279623203,4,8068.0
barabasi,3,57,528,0.48714035526644983,6,39970.0
barabasi,3,58,1408,0.7439220446865055,6,30479.0
barabasi,3,59,3,0.0,4,561.0
barabasi,3,60,944,0.9242910647405029,4,11214.0
barabasi,3,61,2769,0.5828427466001697,5,38899.0
barabasi,3,62,18,0.039798570500324884,5,6156.0
barabasi,3,63,55,0.10745685444480625,4,15355.0
barabasi,3,64,1404,0.6659174556794876,5,35593.0
barabasi,3,65,2716,0.661493370551291,5,35825.0
barabasi,3,66,1889,0.5162937377984682,4,39954.0
barabasi,3,67,165,0.18646232439335889,4,24273.0
barabasi,3,68,235,0.3277256092371415,4,35249.0
barabasi,3,69,705,0.599640699854197,6,38408.0
barabasi,3,70,534,0.43450942484291927,5,39311.0
barabasi,3,71,1440,0.486689351481185,5,39968.0
barabasi,3,72,1497,0.5623111111111111,5,39375.0
barabasi,3,73,182,0.15976166092542593,5,21482.0
barabasi,3,74,154,0.994661921708185,5,1124.0
barabasi,3,75,5,0.014066496163682864,5,2346.0
barabasi,3,76,184,0.12462058301357311,5,17461.0
barabasi,3,77,2823,0.6752750698363833,4,35082.0
barabasi,3,78,271,0.7273242987708793,4,31730.0
barabasi,3,79,792,0.28701017073394214,5,32741.0
barabasi,3,80,822,0.5536726021853501,6,39536.0
barabasi,3,81,2382,0.6811027020805157,6,34751.0
barabasi,3,82,42,0.13479052823315119,5,18666.0
barabasi,3,83,90,0.13586291309669524,5,18791.0
barabasi,3,84,2779,0.516695034040849,4,39952.0
barabasi,3,85,3441,0.702055817844977,6,33466.0
barabasi,3,86,1221,0.43586354161370683,5,39338.0
barabasi,3,87,345,0.5817149609535552,4,38928.0
barabasi,3,88,59,0.059775978706886994,5,9017.0
barabasi,3,89,844,0.6960735072532278,5,33847.0
barabasi,3,90,486,0.2464919069892654,5,29717.0
barabasi,3,91,3301,0.7167000153917192,4,32485.0
barabasi,3,92,871,0.40983564192681415,4,38696.0
barabasi,3,93,931,0.2787415283218305,5,32166.0
barabasi,3,94,469,0.7229972224822894,6,32043.0
barabasi,3,95,9,0.023205612520237454,4,3706.0
barabasi,3,96,898,0.5885040264298989,5,38744.0
barabasi,3,97,21,0.04831506293138449,5,7389.0
barabasi,3,98,944,0.4230178242163491,6,39048.0
barabasi,3,99,3154,0.7699446032250097,5,28341.0
barabasi,3,100,2645,0.4664456499899538,5,39816.0
barabasi,4,1,2669,0.4764207677658615,6,39908.0
barabasi,4,2,3114,0.7130594165266534,6,32735.0
barabasi,4,3,228,0.20759089700239353,8,26321.0
barabasi,4,4,2644,0.8256773185133727,8,23032.0
barabasi,4,5,1013,0.26356464337465785,6,31055.0
barabasi,4,6,6,0.01618366578848325,5,2657.0
barabasi,4,7,5642,0.6042396361545298,6,38258.0
barabasi,4,8,3345,0.7402086651282218,7,30767.0
barabasi,4,9,224,0.16830357142857144,6,22400.0
barabasi,4,10,4899,0.6863821138211382,6,34440.0
barabasi,4,11,3455,0.34779972996059627,7,36291.0
barabasi,4,12,3340,0.626756800085502,7,37426.0
barabasi,4,13,4054,0.4710501229240881,8,39862.0
barabasi,4,14,2380,0.42745498659175074,7,39155.0
barabasi,4,15,350,0.11684223271582517,6,16518.0
barabasi,4,16,372,0.13432916017409058,5,18611.0
barabasi,4,17,1498,0.3385989394362266,8,35830.0
barabasi,4,18,2004,0.33939224979091165,6,35870.0
barabasi,4,19,619,0.5589614867777186,7,39441.0
barabasi,4,20,3121,0.6351792409570307,7,37073.0
barabasi,4,21,5138,0.5572557762464532,8,39472.0
barabasi,4,22,126,0.12216008388675288,6,17166.0
barabasi,4,23,1967,0.567670130399348,5,39264.0
barabasi,4,24,3365,0.5832390454638963,8,38888.0
barabasi,4,25,37,0.06972494710521254,6,10398.0
barabasi,4,26,2271,0.2619378616921535,8,30931.0
barabasi,4,27,1613,0.5740030674846626,6,39120.0
barabasi,4,28,53,0.08852433645438365,6,12923.0
barabasi,4,29,1514,0.35253847417711814,5,36518.0
barabasi,4,30,83,0.043177373251090716,7,6647.0
barabasi,4,31,2863,0.771085617165923,6,28242.0
barabasi,4,32,56,0.12537738536029622,8,17555.0
barabasi,4,33,5,0.019426751592356687,8,3140.0
barabasi,4,34,1945,0.3725165120196807,8,37397.0
barabasi,4,35,5806,0.5370691605701787,8,39777.0
barabasi,4,36,3587,0.3469156919002428,5,36248.0
barabasi,4,37,684,0.22196084108428937,6,27631.0
barabasi,4,38,1219,0.30307155116292833,6,33794.0
barabasi,4,39,1371,0.9218574027549163,7,11543.0
barabasi,4,40,1680,0.33632952508960573,7,35712.0
barabasi,4,41,2852,0.5520814902813235,7,39563.0
barabasi,4,42,21,0.024039717794617194,6,3827.0
barabasi,4,43,21,0.05844376486578321,7,8829.0
barabasi,4,44,299,0.18487185867131128,7,24114.0
barabasi,4,45,2214,0.4268669681408242,7,39141.0
barabasi,4,46,3531,0.8371453453728743,7,21817.0
barabasi,4,47,30,0.0568973525313516,6,8612.0
barabasi,4,48,2236,0.8382413936126089,8,21699.0
barabasi,4,49,645,0.3044158450912096,6,33878.0
barabasi,4,50,2789,0.8134678747940692,6,24280.0
barabasi,4,51,1444,0.6183388070770208,7,37756.0
barabasi,4,52,724,0.18304149776421916,6,23929.0
barabasi,4,53,3580,0.4446806894980636,7,39507.0
