type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,15,51,0.006802721088435374,4,441.0
barabasi,3,5,421,0.04288266825491364,4,1679.0
barabasi,3,7,549,0.946980854197349,4,2037.0
barabasi,3,12,856,0.10057867181041609,4,3629.0
barabasi,3,19,5,0.010752688172043012,4,558.0
barabasi,3,4,863,0.05094243504839532,4,1963.0
barabasi,3,2,1080,0.1754749568221071,4,5790.0
barabasi,3,18,1054,0.33594888465418676,4,8921.0
barabasi,3,17,1241,0.13529662825437475,4,4686.0
barabasi,3,24,33,0.025495750708215296,4,1059.0
barabasi,3,8,1715,0.18656347768812778,4,6073.0
barabasi,3,10,1810,0.16042284866468842,4,5392.0
barabasi,3,14,2371,0.14481645824929407,4,4958.0
barabasi,3,28,50,0.042270531400966184,4,1656.0
barabasi,3,6,2654,0.22798295454545456,4,7040.0
barabasi,3,1,2872,0.3516507623121641,4,9117.0
barabasi,3,25,1248,0.4738689938810312,4,9969.0
barabasi,3,32,103,0.04678040726472207,4,1817.0
barabasi,3,13,3215,0.33609772498038776,4,8923.0
barabasi,3,16,3258,0.5236615199518748,4,9974.0
barabasi,3,21,4003,0.23714759535655058,4,7236.0
barabasi,3,23,3344,0.9250896057347671,4,2790.0
barabasi,3,31,2095,0.2874755859375,4,8192.0
barabasi,3,36,170,0.07224898110411264,4,2699.0
barabasi,3,37,116,0.08021570610043816,4,2967.0
barabasi,3,20,5067,0.4735680609890661,4,9969.0
barabasi,3,41,48,0.030620467365028204,4,1241.0
barabasi,3,30,3789,0.3930181360729636,4,9539.0
barabasi,3,22,5491,0.2893104706311565,4,8223.0
barabasi,3,44,189,0.07396664249456128,4,2758.0
barabasi,3,45,19,0.019138755980861243,4,836.0
barabasi,3,39,1814,0.980209545983702,4,859.0
barabasi,3,47,80,0.07203861864092091,4,2693.0
barabasi,3,11,7153,0.3847454046059582,4,9466.0
barabasi,3,33,4124,0.3003331746787244,4,8404.0
barabasi,3,50,7,0.01282051282051282,4,624.0
barabasi,3,46,594,0.25225344644750797,4,7544.0
barabasi,3,26,6146,0.8906530089628681,4,3905.0
barabasi,3,9,8708,0.39510306581563254,4,9557.0
barabasi,3,48,3802,0.39029003783102145,4,9516.0
barabasi,3,43,4296,0.4641528406234289,4,9945.0
barabasi,3,55,74,0.05276134122287968,4,2028.0
barabasi,3,56,87,0.08506555804285257,4,3127.0
barabasi,3,3,11060,0.4507070707070707,4,9900.0
barabasi,3,59,18,0.055789967182372245,4,2133.0
barabasi,3,60,381,0.0977677309974569,4,3539.0
barabasi,3,61,2,0.009578544061302681,4,522.0
barabasi,3,27,10214,0.8122950819672131,4,6100.0
barabasi,3,63,104,0.0714552936775159,4,2673.0
barabasi,3,64,43,0.06361746361746362,4,2405.0
barabasi,3,52,5129,0.5562310030395137,4,9870.0
barabasi,3,66,136,0.19110751818916735,4,6185.0
barabasi,3,34,9882,0.6868968724566911,4,8601.0
barabasi,3,68,12,0.009578544061302681,4,522.0
barabasi,3,57,2310,0.18009478672985782,4,5908.0
barabasi,3,29,10707,0.6019204675921094,4,9581.0
barabasi,3,42,7372,0.8363138686131387,4,5480.0
barabasi,3,69,281,0.1525980297469577,4,5177.0
barabasi,3,72,426,0.44418557536466774,4,9872.0
barabasi,3,67,1140,0.1356473594548552,4,4696.0
barabasi,3,75,8,0.011824324324324325,4,592.0
barabasi,3,73,464,0.09851248947516138,4,3563.0
barabasi,3,77,8,0.008281573498964804,4,483.0
barabasi,3,65,1925,0.3039829807351377,4,8461.0
barabasi,3,79,209,0.23311424975527897,4,7151.0
barabasi,3,80,4,0.025998142989786442,4,1077.0
barabasi,3,81,43,0.04591265397536394,4,1786.0
barabasi,3,74,1315,0.16702586206896552,4,5568.0
barabasi,3,35,11793,0.5836163424925388,4,9717.0
barabasi,3,76,1602,0.2683392766174223,4,7852.0
barabasi,3,51,8317,0.5296125276048986,4,9962.0
barabasi,3,84,360,0.09805579036348266,4,3549.0
barabasi,3,38,10757,0.5990629880270693,4,9605.0
barabasi,3,62,4328,0.26073420677130626,4,7709.0
barabasi,3,83,714,0.10246679316888045,4,3689.0
barabasi,3,40,11151,0.805781823989778,4,6261.0
barabasi,3,91,283,0.14259448416751788,4,4895.0
barabasi,3,82,2403,0.18935200260501464,4,6142.0
barabasi,3,53,8985,0.459671734971302,4,9931.0
barabasi,3,71,3831,0.3228868809333181,4,8743.0
barabasi,3,95,7,0.010752688172043012,4,558.0
barabasi,3,87,1603,0.16430131004366813,4,5496.0
barabasi,3,85,1984,0.42867354232615135,4,9793.0
barabasi,3,97,456,0.189453125,4,6144.0
barabasi,3,90,1807,0.6218228225034563,4,9403.0
barabasi,3,94,870,0.20059226932668328,4,6416.0
barabasi,3,89,2006,0.3197286732582203,4,8698.0
barabasi,4,2,268,0.06118052563550194,5,2321.0
barabasi,3,88,3071,0.4449620253164557,4,9875.0
barabasi,3,99,1292,0.19310344827586207,4,6235.0
barabasi,3,92,3053,0.749833399973344,4,7503.0
barabasi,3,49,12477,0.7273071104387292,4,7932.0
barabasi,3,54,11119,0.7564119962002985,4,7369.0
barabasi,4,8,9,0.013761467889908258,5,654.0
barabasi,4,9,6,0.005076142131979695,5,394.0
barabasi,4,10,8,0.002932551319648094,5,341.0
barabasi,4,11,122,0.16570292735814962,5,5534.0
barabasi,3,100,2360,0.5750690819772797,4,9771.0
barabasi,4,12,64,0.05934455270150576,5,2258.0
barabasi,4,7,433,0.9904214559386973,5,522.0
barabasi,3,58,10533,0.7135168195718654,4,8175.0
barabasi,3,96,4687,0.28218738427354645,4,8101.0
barabasi,3,93,5056,0.39045917831249344,4,9517.0
barabasi,3,78,8834,0.5344255704090863,4,9949.0
barabasi,4,19,26,0.010752688172043012,5,558.0
barabasi,4,18,933,0.12179188054129725,5,4286.0
barabasi,4,5,3892,0.167621776504298,5,5584.0
barabasi,4,21,8,0.011824324324324325,5,592.0
barabasi,4,23,5,0.011824324324324325,5,592.0
barabasi,4,22,184,0.12539827036868456,5,4394.0
barabasi,4,25,1,0.0,5,278.0
barabasi,4,26,1,0.005076142131979695,5,394.0
barabasi,3,70,9872,0.5753915446821578,4,9769.0
barabasi,4,27,200,0.0416156670746634,5,1634.0
barabasi,4,29,593,0.17127266326350996,5,5681.0
barabasi,4,30,6,0.010752688172043012,5,558.0
barabasi,4,24,1023,0.39503976559229803,5,9556.0
barabasi,4,3,5911,0.9223031564342699,5,2883.0
barabasi,4,33,34,0.02106430155210643,5,902.0
barabasi,4,34,1,0.0,5,278.0
barabasi,4,17,2662,0.2556825647089739,5,7611.0
barabasi,4,31,657,0.1488564668769716,5,5072.0
barabasi,3,98,7185,0.39278599140190834,4,9537.0
barabasi,4,35,632,0.14123944821906526,5,4857.0
barabasi,4,13,4755,0.28218738427354645,5,8101.0
barabasi,4,20,2595,0.20210787352758836,5,6452.0
barabasi,4,1,7876,0.6143128562381254,5,9474.0
barabasi,4,41,366,0.05454545454545454,5,2090.0
barabasi,4,4,7350,0.8938518129269575,5,3806.0
barabasi,4,40,1414,0.09654384461582405,5,3501.0
barabasi,4,44,14,0.02931323283082077,5,1194.0
barabasi,4,46,219,0.07602545968882603,5,2828.0
barabasi,4,45,252,0.094712376525276,5,3442.0
barabasi,4,43,769,0.155441400304414,5,5256.0
