type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,1,723,0.3524706913553194,4,9127.0
barabasi,3,2,72,0.1707833450952717,4,5668.0
barabasi,3,3,999,0.45168130869433504,4,9903.0
barabasi,3,4,7,0.04560810810810811,4,1776.0
barabasi,3,5,3,0.03828382838283828,4,1515.0
barabasi,3,6,105,0.228137421919364,4,7044.0
barabasi,3,7,5,0.9447069943289225,4,2116.0
barabasi,3,8,38,0.1831997327989312,4,5988.0
barabasi,3,9,514,0.39278599140190834,4,9537.0
barabasi,3,10,59,0.17158931082981715,4,5688.0
barabasi,3,11,375,0.3642548596112311,4,9260.0
barabasi,3,12,8,0.08886838868388684,4,3252.0
barabasi,3,13,124,0.329788437606064,4,8839.0
barabasi,3,14,74,0.13272608978529604,4,4611.0
barabasi,3,15,2,0.002932551319648094,4,341.0
barabasi,3,16,147,0.5264319390109339,4,9969.0
barabasi,3,17,37,0.1492918961447679,4,5084.0
barabasi,3,18,23,0.33340834927422075,4,8887.0
barabasi,3,19,2,0.016260162601626018,4,738.0
barabasi,3,20,313,0.4793065437418579,4,9979.0
barabasi,3,21,231,0.23754313319530712,4,7245.0
barabasi,3,22,352,0.2891727493917275,4,8220.0
barabasi,3,23,226,0.9217511203033437,4,2901.0
barabasi,3,24,3,0.017015706806282723,4,764.0
barabasi,3,25,81,0.4834768676146605,4,9986.0
barabasi,3,26,416,0.8856861295885686,4,4059.0
barabasi,3,27,680,0.8019833149693059,4,6353.0
barabasi,3,28,5,0.03828382838283828,4,1515.0
barabasi,3,29,707,0.6118774349794672,4,9497.0
barabasi,3,30,243,0.38444467927718484,4,9463.0
barabasi,3,31,130,0.2770287141073658,4,8010.0
barabasi,3,32,3,0.02645985401459854,4,1096.0
barabasi,3,33,269,0.3004996431120628,4,8406.0
barabasi,3,34,635,0.6807825086306099,4,8690.0
barabasi,3,35,767,0.5780785399364298,4,9753.0
barabasi,3,36,8,0.058426966292134834,4,2225.0
barabasi,3,37,8,0.07602545968882603,4,2828.0
barabasi,3,38,690,0.5972554319575839,4,9619.0
barabasi,3,39,108,0.9829619921363041,4,763.0
barabasi,3,40,726,0.8023640661938535,4,6345.0
barabasi,3,41,10,0.049582463465553235,4,1916.0
barabasi,3,42,466,0.8328845808651948,4,5571.0
barabasi,3,43,274,0.44894864536999596,4,9892.0
barabasi,3,44,14,0.07396664249456128,4,2758.0
barabasi,3,45,2,0.008281573498964804,4,483.0
barabasi,3,46,38,0.24609164420485174,4,7420.0
barabasi,3,47,7,0.08368472267272138,4,3083.0
barabasi,3,48,234,0.3765445249254367,4,9388.0
barabasi,3,49,794,0.7345473198255963,4,7798.0
barabasi,3,50,6,0.009578544061302681,4,522.0
barabasi,3,51,544,0.5365583827818566,4,9943.0
barabasi,3,52,333,0.5466747401352307,4,9909.0
barabasi,3,53,556,0.4507070707070707,4,9900.0
barabasi,3,54,729,0.7545565006075334,4,7407.0
barabasi,3,55,7,0.05980650835532102,4,2274.0
barabasi,3,56,8,0.07473948975925261,4,2783.0
barabasi,3,57,140,0.1784557695585478,4,5867.0
barabasi,3,58,698,0.7153383273977649,4,8143.0
barabasi,3,59,8,0.05405405405405406,4,2072.0
barabasi,3,60,28,0.09624749355485535,4,3491.0
barabasi,3,61,2,0.008281573498964804,4,483.0
barabasi,3,62,300,0.2689471007121058,4,7864.0
barabasi,3,63,8,0.06701030927835051,4,2522.0
barabasi,3,64,3,0.050411522633744855,4,1944.0
barabasi,3,65,119,0.30247718383311606,4,8437.0
barabasi,3,66,11,0.19529262086513996,4,6288.0
barabasi,3,67,80,0.14212574237149295,4,4883.0
barabasi,3,68,3,0.005076142131979695,4,394.0
barabasi,3,69,15,0.13599660008499787,4,4706.0
barabasi,3,70,631,0.576036866359447,4,9765.0
barabasi,3,71,248,0.3216045845272206,4,8725.0
barabasi,3,72,24,0.4426761277242777,4,9865.0
barabasi,3,73,24,0.09609868043602983,4,3486.0
barabasi,3,74,80,0.1647912885662432,4,5510.0
barabasi,3,75,4,0.02106430155210643,4,902.0
barabasi,3,76,106,0.26778882938026016,4,7842.0
barabasi,3,77,3,0.013761467889908258,4,654.0
barabasi,3,78,575,0.5329046518637597,4,9953.0
barabasi,3,79,15,0.2346881959910913,4,7184.0
barabasi,3,80,3,0.02332657200811359,4,986.0
barabasi,3,81,3,0.04086687306501548,4,1615.0
barabasi,3,82,150,0.1868421052631579,4,6080.0
barabasi,3,83,51,0.1062992125984252,4,3810.0
barabasi,3,84,26,0.09879652952700811,4,3573.0
barabasi,3,85,126,0.4347649094239772,4,9826.0
barabasi,3,86,758,0.7384157390629045,4,7726.0
