type,dafNodes,repetition,time,justification,peafNodes,iteration
barabasi,3,15,100,0.006845944334292645,4,8.0
barabasi,3,8,99,0.18826981262042747,4,8.0
barabasi,3,6,97,0.22364943098444479,4,8.0
barabasi,3,12,100,0.09451576777736811,4,8.0
barabasi,3,7,94,0.9458579570344743,4,8.0
barabasi,3,4,98,0.05365023992999654,4,8.0
barabasi,3,2,97,0.17251985784854423,4,8.0
barabasi,3,5,94,0.04246264899934023,4,8.0
barabasi,3,13,100,0.3371842269153273,4,8.0
barabasi,3,10,103,0.16513572890798936,4,8.0
barabasi,3,11,105,0.3781479696533218,4,8.0
barabasi,3,3,105,0.4515625206418963,4,8.0
barabasi,3,9,100,0.39328654624630155,4,8.0
barabasi,3,14,104,0.1361432349979036,4,8.0
barabasi,3,1,99,0.3563262937950437,4,8.0
barabasi,3,17,5,0.14362803180567835,4,8.0
barabasi,3,24,5,0.02702971832941405,4,8.0
barabasi,3,16,10,0.524627042309432,4,8.0
barabasi,3,30,5,0.3874911757616549,4,8.0
barabasi,3,25,3,0.47595760826822364,4,8.0
barabasi,3,18,11,0.3322390351935618,4,8.0
barabasi,3,20,13,0.4751429412074968,4,8.0
barabasi,3,31,7,0.278844773001778,4,8.0
barabasi,3,19,14,0.01576802130589365,4,8.0
barabasi,3,27,11,0.8061044681578805,4,8.0
barabasi,3,22,19,0.28623341349828474,4,8.0
barabasi,3,28,14,0.04085563947401917,4,8.0
barabasi,3,35,9,0.5860742586512739,4,8.0
barabasi,3,37,5,0.07753220739354477,4,8.0
barabasi,3,26,17,0.8926829157198037,4,8.0
barabasi,3,29,17,0.6001421829331794,4,8.0
barabasi,3,36,10,0.06507035218302351,4,8.0
barabasi,3,41,5,0.04461966197230652,4,8.0
barabasi,3,21,26,0.23605948783003092,4,8.0
barabasi,3,44,7,0.08050327403421072,4,8.0
barabasi,3,46,7,0.251772965188607,4,8.0
barabasi,3,47,7,0.0850093790655057,4,8.0
barabasi,3,43,13,0.4586829321697683,4,8.0
barabasi,3,23,33,0.9193905235780393,4,8.0
barabasi,3,45,11,0.020205421154921063,4,8.0
barabasi,3,38,21,0.5990393704818113,4,8.0
barabasi,3,48,15,0.38432988396423917,4,8.0
barabasi,3,39,27,0.9765953744534386,4,8.0
barabasi,3,40,28,0.7990039617297252,4,8.0
barabasi,3,57,5,0.18307164697701872,4,8.0
barabasi,3,52,13,0.5489369053041465,4,8.0
barabasi,3,34,36,0.6841070096629762,4,8.0
barabasi,3,59,3,0.06098470212229282,4,8.0
barabasi,3,33,40,0.3031839358864247,4,8.0
barabasi,3,32,41,0.03754054150753072,4,8.0
barabasi,3,42,29,0.8332126291513386,4,8.0
barabasi,3,50,21,0.010077265818200698,4,8.0
barabasi,3,63,1,0.0704150575256399,4,8.0
barabasi,3,55,4,0.05588441420844381,4,8.0
