type,dafNodes,repetition,time,justification,peafNodes,iteration,attacks,supports
barabasi,3,6,45,0.0,4,278.0,3,4
barabasi,3,1,42,0.0,4,278.0,3,4
barabasi,3,12,45,0.0,4,278.0,3,4
barabasi,3,7,958,0.06207482993197279,4,2352.0,3,4
barabasi,3,2,981,0.08144946808510638,5,3008.0,3,7
barabasi,3,13,1129,0.06252640473172792,4,2367.0,3,4
barabasi,3,17,1364,0.17712620027434842,4,5832.0,3,4
barabasi,3,4,1568,0.15868263473053892,4,5344.0,3,4
barabasi,3,10,2014,0.19619651347068146,5,6310.0,3,7
barabasi,3,18,2062,0.18197079066644284,5,5957.0,3,7
barabasi,3,15,2229,0.13249348392701998,6,4604.0,3,10
barabasi,3,20,1673,0.7976153607928151,4,6458.0,3,4
barabasi,3,26,558,0.46760421898543447,4,9955.0,3,4
barabasi,3,11,2819,0.24469092384688218,4,7393.0,3,4
barabasi,3,3,3336,0.5238620413073992,6,9974.0,3,10
barabasi,3,30,102,0.03794940079893475,5,1502.0,3,7
barabasi,3,22,3617,0.4102325581395349,5,9675.0,3,7
barabasi,3,31,1697,0.16206769683590877,4,5436.0,3,4
barabasi,3,5,5599,0.5312845234508387,5,9957.0,3,7
barabasi,3,8,5723,0.537625754527163,5,9940.0,3,7
barabasi,3,21,4706,0.8044169049888783,5,6294.0,3,7
barabasi,3,32,831,0.27454180266131056,5,7966.0,3,7
barabasi,3,28,3164,0.3978494623655914,4,9579.0,3,4
barabasi,3,14,5989,0.6245733788395904,6,9376.0,3,10
barabasi,3,23,4728,0.9213868863714384,5,2913.0,3,7
barabasi,3,24,5727,0.5675565518646831,5,9814.0,3,7
barabasi,3,40,1863,0.7471872931833223,5,7555.0,3,7
barabasi,3,42,475,0.1316593886462882,6,4580.0,3,10
barabasi,3,33,4333,0.4281920326864147,5,9790.0,3,7
barabasi,3,16,9437,0.8717891445164172,5,4477.0,3,7
barabasi,3,43,940,0.42153846153846153,4,9750.0,3,4
barabasi,3,37,3834,0.5621824832351148,6,9842.0,3,10
barabasi,3,45,575,0.1617538688282977,5,5428.0,3,7
barabasi,3,38,4902,0.5534304796599878,6,9882.0,3,10
barabasi,3,49,711,0.13449163449163448,5,4662.0,3,7
barabasi,3,34,6104,0.6568670956290216,6,9014.0,3,10
barabasi,3,9,12073,0.7264720684448918,6,7948.0,3,10
barabasi,3,50,550,0.1383067896060352,5,4772.0,3,7
barabasi,3,52,78,0.03828382838283828,5,1515.0,3,7
barabasi,3,19,11660,0.6445802859949787,4,9161.0,3,4
barabasi,3,27,10324,0.5903215799813877,5,9671.0,3,7
barabasi,3,36,7435,0.8965331900026875,5,3721.0,3,7
barabasi,3,48,3330,0.9523551705468327,6,1847.0,3,10
barabasi,3,57,499,0.09110042092603728,4,3326.0,3,4
barabasi,3,59,34,0.04413472706155633,4,1722.0,3,4
barabasi,3,29,11802,0.5462617293915851,5,9911.0,3,7
barabasi,3,25,12707,0.7325165900969882,5,7836.0,3,7
barabasi,3,44,6164,0.36265281834902086,5,9243.0,3,7
barabasi,3,54,3711,0.5576845093268451,6,9864.0,3,10
barabasi,3,64,2,0.008281573498964804,4,483.0,3,4
barabasi,3,56,3036,0.729866835764109,5,7885.0,3,7
barabasi,3,46,6484,0.6544288399867301,6,9043.0,3,10
barabasi,3,66,245,0.0848814862267777,5,3122.0,3,7
barabasi,3,47,6776,0.34683739927144275,5,9059.0,3,7
barabasi,3,60,3133,0.9008933556672251,4,3582.0,3,4
barabasi,3,53,5083,0.5199879771565975,6,9981.0,3,10
barabasi,3,35,11727,0.6911092889773925,5,8537.0,3,7
barabasi,3,39,11652,0.7802566345873433,4,6858.0,3,4
barabasi,3,72,283,0.12439862542955327,5,4365.0,3,7
barabasi,3,70,802,0.40817805383022776,4,9660.0,3,4
barabasi,3,41,10276,0.54497781363453,6,9916.0,3,10
barabasi,3,76,197,0.06845585375340335,5,2571.0,3,7
barabasi,3,74,684,0.2257187812902303,4,6991.0,3,4
barabasi,3,63,2975,0.21820046893317702,6,6824.0,3,10
barabasi,3,51,7024,0.8304934327298544,4,5634.0,3,4
barabasi,3,55,6196,0.39671925608609343,6,9571.0,3,10
barabasi,3,80,131,0.05866547245857591,5,2233.0,3,7
barabasi,3,58,5960,0.32207078227007213,5,8731.0,3,7
barabasi,3,83,94,0.05430081691494474,5,2081.0,3,7
barabasi,3,62,4886,0.6353626943005182,5,9264.0,3,7
