type,dafNodes,repetition,time,justification,peafNodes,iteration,attacks,supports
barabasi,3,1,154,0.009826589595375723,4,1730.0,3,4
barabasi,3,2,657,0.08218157742282546,5,12083.0,3,7
barabasi,3,3,2020,0.5258711456505389,6,39890.0,3,10
barabasi,3,4,577,0.15080991412958625,4,20496.0,3,4
barabasi,3,5,2799,0.5274099709098204,5,39876.0,3,7
barabasi,3,6,14,0.0033783783783783786,4,888.0,3,4
barabasi,3,7,220,0.06034956579092008,4,9097.0,3,4
barabasi,3,8,2879,0.5397041062801933,5,39744.0,3,7
barabasi,3,9,4779,0.7239179384538403,6,31976.0,3,10
barabasi,3,10,890,0.19934218254434394,5,25539.0,3,7
barabasi,3,11,1118,0.2326810655651626,4,28567.0,3,4
barabasi,3,12,9,0.0,4,561.0,3,4
barabasi,3,13,282,0.062811142887406,4,9441.0,3,4
barabasi,3,14,2863,0.6184736828163493,6,37751.0,3,10
barabasi,3,15,822,0.13458856345885634,6,18642.0,3,10
barabasi,3,16,3590,0.8748858447488584,5,17520.0,3,7
barabasi,3,17,556,0.1760168907273354,4,23208.0,3,4
barabasi,3,18,951,0.18550688671051,5,24177.0,3,7
barabasi,3,19,4954,0.6347460368812682,4,37092.0,3,4
barabasi,3,20,1023,0.7839692966270574,4,27098.0,3,4
barabasi,3,21,2654,0.7960731472569779,5,25975.0,3,7
barabasi,3,22,2340,0.41607923848726525,5,38870.0,3,7
barabasi,3,23,1852,0.9319948823934652,5,10161.0,3,7
barabasi,3,24,3320,0.5602151356013902,5,39417.0,3,7
barabasi,3,25,5530,0.7317244014263882,5,31408.0,3,7
barabasi,3,26,828,0.4676240929975646,4,39829.0,3,4
barabasi,3,27,4553,0.5838800133775822,5,38871.0,3,7
barabasi,3,28,2086,0.3970810923711556,4,38302.0,3,4
barabasi,3,29,5234,0.5485751785759357,5,39619.0,3,7
barabasi,3,30,124,0.03288577544269313,5,5139.0,3,7
barabasi,3,31,953,0.16168741355463348,4,21690.0,3,4
barabasi,3,32,936,0.28116399171228007,5,32337.0,3,7
barabasi,3,33,2659,0.4333206058291969,5,39285.0,3,7
barabasi,3,34,3501,0.6516603337188172,6,36318.0,3,10
barabasi,3,35,5111,0.6790466903751291,5,34868.0,3,7
barabasi,3,36,3171,0.8921269552800675,5,15407.0,3,7
barabasi,3,37,2319,0.5656100539330416,6,39308.0,3,10
barabasi,3,38,2948,0.5445701756596688,6,39679.0,3,10
barabasi,3,39,4971,0.7785672853828306,4,27584.0,3,4
barabasi,3,40,1331,0.7474423070555904,5,30203.0,3,7
barabasi,3,41,4567,0.5412848655724499,6,39724.0,3,10
barabasi,3,42,532,0.12498571918199475,6,17506.0,3,10
barabasi,3,43,1007,0.424510681847256,4,39085.0,3,4
barabasi,3,44,3010,0.3675011428110463,5,37189.0,3,7
barabasi,3,45,703,0.17339553540286012,5,22936.0,3,7
barabasi,3,46,3104,0.6505815392229646,6,36369.0,3,10
barabasi,3,47,3149,0.3493194005224804,5,36365.0,3,7
barabasi,3,48,1397,0.953675021120811,6,7102.0,3,10
barabasi,3,49,552,0.1335061568373299,5,18516.0,3,7
barabasi,3,50,563,0.13695950946188815,5,18918.0,3,7
barabasi,3,51,3192,0.8161786145707502,4,24007.0,3,4
barabasi,3,52,155,0.04401772525849335,5,6770.0,3,7
barabasi,3,53,2997,0.5177489610974816,6,39946.0,3,10
barabasi,3,54,2535,0.554048926104885,6,39529.0,3,10
barabasi,3,55,3024,0.3931200712620189,6,38169.0,3,10
barabasi,3,56,1902,0.7349440112939969,5,31167.0,3,7
barabasi,3,57,470,0.09866573033707865,4,14240.0,3,4
barabasi,3,58,2926,0.3267509589430317,5,35195.0,3,7
barabasi,3,59,112,0.03895888594164456,4,6032.0,3,4
barabasi,3,60,1555,0.8945695364238411,4,15100.0,3,4
barabasi,3,61,4739,0.7756428674041086,6,27844.0,3,10
barabasi,3,62,2924,0.6303280667399876,5,37279.0,3,7
barabasi,3,63,1631,0.2176338876041552,6,27243.0,3,10
barabasi,3,64,20,0.007681564245810056,4,1432.0,3,4
barabasi,3,65,4254,0.43075275943817076,5,39229.0,3,7
barabasi,3,66,308,0.08087000335908633,5,11908.0,3,7
barabasi,3,67,3347,0.887940234791889,5,15929.0,3,7
barabasi,3,68,2319,0.8417374173272668,5,21319.0,3,7
barabasi,3,69,2342,0.6558484714222419,5,36112.0,3,7
barabasi,3,70,897,0.41019480183950807,4,38706.0,3,4
barabasi,3,71,2456,0.47168154911206983,4,39868.0,3,4
barabasi,3,72,383,0.11461988304093568,5,16245.0,3,7
barabasi,3,73,2807,0.46196403872752423,4,39765.0,3,4
barabasi,3,74,757,0.21829103028971175,4,27303.0,3,4
barabasi,3,75,4503,0.6252901160464186,5,37485.0,3,7
barabasi,3,76,240,0.06012134583563155,5,9065.0,3,7
barabasi,3,77,3125,0.5560985491099688,5,39493.0,3,7
barabasi,3,78,3044,0.6182631955295427,5,37759.0,3,7
barabasi,3,79,2107,0.4809584616540224,4,39939.0,3,4
barabasi,3,80,156,0.04831506293138449,5,7389.0,3,7
barabasi,3,81,1046,0.20693857344148672,5,26259.0,3,7
barabasi,3,82,1398,0.24522185452826367,5,29614.0,3,7
barabasi,3,83,207,0.05890949971894323,5,8895.0,3,7
barabasi,3,84,3013,0.458676333610251,4,39723.0,3,4
barabasi,3,85,4113,0.5047883379591428,5,39993.0,3,7
barabasi,3,86,428,0.10010398613518198,4,14425.0,3,4
barabasi,3,87,2847,0.5192177679845758,6,39937.0,3,10
barabasi,3,88,5278,0.635622722979355,5,37055.0,3,7
