type,dafNodes,repetition,time,justification,peafNodes,iteration,attacks,supports
barabasi,3,1,67,0.009643019630549064,4,8.0,3,4
barabasi,3,2,17,0.08131019719166777,5,40.0,3,7
barabasi,3,3,64,0.5258222936102986,6,248.0,3,10
barabasi,3,4,3,0.15292206970737654,4,8.0,3,4
barabasi,3,5,17,0.5316182799171574,5,40.0,3,7
barabasi,3,6,3,0.005551668143827591,4,8.0,3,4
barabasi,3,7,2,0.06235393996151031,4,8.0,3,4
barabasi,3,8,13,0.5362532297707467,5,40.0,3,7
barabasi,3,9,73,0.723452890357599,6,248.0,3,10
barabasi,3,10,4,0.19722417669565748,5,40.0,3,7
barabasi,3,11,2,0.23729683662325318,4,8.0,3,4
barabasi,3,12,4,7.285759072875359E-4,4,8.0,3,4
barabasi,3,13,2,0.06110898777132978,4,8.0,3,4
barabasi,3,14,30,0.6165089313538293,6,248.0,3,10
barabasi,3,15,40,0.13403418291740388,6,248.0,3,10
barabasi,3,16,14,0.8691640183954021,5,40.0,3,7
barabasi,3,17,1,0.17267377911927267,4,8.0,3,4
barabasi,3,18,8,0.18812708407144185,5,40.0,3,7
barabasi,3,19,2,0.6321145513729902,4,8.0,3,4
barabasi,3,20,1,0.786638050589652,4,8.0,3,4
barabasi,3,21,6,0.7984546066714848,5,40.0,3,7
barabasi,3,22,3,0.4149914942334064,5,40.0,3,7
barabasi,3,23,18,0.921721352048227,5,40.0,3,7
barabasi,3,24,11,0.5623470088812512,5,40.0,3,7
barabasi,3,25,8,0.7308881598833508,5,40.0,3,7
barabasi,3,26,1,0.4645438472748423,4,8.0,3,4
barabasi,3,27,8,0.588158696126682,5,40.0,3,7
barabasi,3,28,1,0.3989423486255162,4,8.0,3,4
barabasi,3,29,7,0.5458082151787654,5,40.0,3,7
barabasi,3,30,6,0.0323688981615815,5,40.0,3,7
barabasi,3,31,2,0.16135008285575997,4,8.0,3,4
barabasi,3,32,4,0.27714891741481107,5,40.0,3,7
barabasi,3,33,4,0.4275631970660759,5,40.0,3,7
barabasi,3,34,16,0.6554008563188426,6,248.0,3,10
barabasi,3,35,8,0.6871612004449379,5,40.0,3,7
barabasi,3,36,6,0.8921840133500676,5,40.0,3,7
barabasi,3,37,17,0.5639950743762433,6,248.0,3,10
barabasi,3,38,19,0.5471078418087559,6,248.0,3,10
barabasi,3,39,2,0.7799490537280263,4,8.0,3,4
barabasi,3,40,12,0.7505105721979755,5,40.0,3,7
barabasi,3,41,30,0.5407143117571003,6,248.0,3,10
barabasi,3,42,16,0.12162261402668229,6,248.0,3,10
barabasi,3,43,1,0.4209876063114037,4,8.0,3,4
barabasi,3,44,3,0.3656301698479608,5,40.0,3,7
barabasi,3,45,3,0.17018192938548976,5,40.0,3,7
barabasi,3,46,25,0.6529634851064545,6,248.0,3,10
barabasi,3,47,19,0.3467660658058707,5,40.0,3,7
barabasi,3,48,34,0.9530270356267464,6,248.0,3,10
barabasi,3,49,4,0.13107384313474563,5,40.0,3,7
barabasi,3,50,2,0.13528592737095949,5,40.0,3,7
barabasi,3,51,1,0.818734415321214,4,8.0,3,4
barabasi,3,52,3,0.041718277086075436,5,40.0,3,7
barabasi,3,53,10,0.5187046846078185,6,248.0,3,10
barabasi,3,54,13,0.5565937754005335,6,248.0,3,10
barabasi,3,55,68,0.394114706892031,6,248.0,3,10
barabasi,3,56,6,0.7316993045964237,5,40.0,3,7
barabasi,3,57,2,0.09781075540411524,4,8.0,3,4
barabasi,3,58,4,0.3252903274476347,5,40.0,3,7
barabasi,3,59,1,0.035758977354458786,4,8.0,3,4
barabasi,3,60,1,0.8947541269511208,4,8.0,3,4
barabasi,3,61,28,0.7768376345896564,6,248.0,3,10
barabasi,3,62,4,0.6290607489611536,5,40.0,3,7
barabasi,3,63,32,0.21537375135540487,6,248.0,3,10
barabasi,3,64,1,0.010852112367998178,4,8.0,3,4
barabasi,3,65,7,0.4302107474042178,5,40.0,3,7
barabasi,3,66,3,0.082815197846071,5,40.0,3,7
barabasi,3,67,9,0.8880390131334359,5,40.0,3,7
barabasi,3,68,6,0.8374865360640624,5,40.0,3,7
barabasi,3,69,2,0.6570427114085872,5,40.0,3,7
barabasi,3,70,1,0.4049771986482044,4,8.0,3,4
barabasi,3,71,1,0.4694187124241692,4,8.0,3,4
barabasi,3,72,3,0.11375393438675464,5,40.0,3,7
barabasi,3,73,2,0.46206011288897436,4,8.0,3,4
barabasi,3,74,1,0.2248308871734443,4,8.0,3,4
barabasi,3,75,12,0.6246086772880697,5,40.0,3,7
barabasi,3,76,4,0.06309077066392425,5,40.0,3,7
barabasi,3,77,40,0.5553528043557577,5,40.0,3,7
barabasi,3,78,3,0.620115129531859,5,40.0,3,7
barabasi,3,79,1,0.48190945385591505,4,8.0,3,4
barabasi,3,80,3,0.04975145675612788,5,40.0,3,7
barabasi,3,81,5,0.20795397777333707,5,40.0,3,7
barabasi,3,82,3,0.24500552733809366,5,40.0,3,7
barabasi,3,83,3,0.05756688543454197,5,40.0,3,7
barabasi,3,84,3,0.46184916493924205,4,8.0,3,4
barabasi,3,85,4,0.5104641314810185,5,40.0,3,7
barabasi,3,86,1,0.09748107408908313,4,8.0,3,4
barabasi,3,87,57,0.5200627960126903,6,248.0,3,10
barabasi,3,88,9,0.6364336200715142,5,40.0,3,7
barabasi,3,89,2,0.3243696764580065,5,40.0,3,7
barabasi,3,90,3,0.038820807500525,5,40.0,3,7
barabasi,3,91,2,0.039071937749838484,5,40.0,3,7
barabasi,3,92,5,0.17171154362253818,5,40.0,3,7
barabasi,3,93,2,0.5229910816438429,4,8.0,3,4
barabasi,3,94,3,0.027606891519465993,4,8.0,3,4
barabasi,3,95,57,0.958678694711534,6,248.0,3,10
barabasi,3,96,2,0.530217197555632,4,8.0,3,4
barabasi,3,97,3,0.12489460216586187,5,40.0,3,7
barabasi,3,98,17,0.15649020474778386,6,248.0,3,10
barabasi,3,99,10,0.5525397344938384,6,248.0,3,10
barabasi,3,100,3,0.034904181295406116,5,40.0,3,7
barabasi,4,1,579,0.3731301983926567,8,3152.0,5,14
barabasi,4,2,2,0.5364488778196758,5,16.0,5,5
barabasi,4,3,5,0.20382482003476707,6,80.0,5,8
barabasi,4,4,59,0.5116604330775064,7,496.0,5,11
barabasi,4,5,71,0.3977836281917458,8,3152.0,5,14
barabasi,4,6,5,0.24236148081208844,6,80.0,5,8
barabasi,4,7,42,0.21656197703634555,7,400.0,5,11
barabasi,4,8,71,0.5725645218046281,7,496.0,5,11
barabasi,4,9,16,0.24773016628804184,7,496.0,5,11
barabasi,4,10,6,0.3374358092930368,6,80.0,5,8
barabasi,4,11,2,0.5065732845932338,5,16.0,5,5
barabasi,4,12,1,0.3382053679586401,5,16.0,5,5
barabasi,4,13,15,0.33773059822062174,7,496.0,5,11
barabasi,4,14,26,0.30076575878752926,7,400.0,5,11
barabasi,4,15,11,0.059890973627245596,6,80.0,5,8
barabasi,4,16,67,0.24731545886537382,8,3152.0,5,14
barabasi,4,17,2,0.2868495186162931,5,16.0,5,5
barabasi,4,18,26,0.7281211355305642,7,400.0,5,11
barabasi,4,19,3,0.0236205534835693,6,80.0,5,8
barabasi,4,20,80,0.4196552156964751,7,496.0,5,11
barabasi,4,21,2,0.21510270593581646,5,16.0,5,5
barabasi,4,22,12,0.6507718031407869,7,496.0,5,11
barabasi,4,23,1,0.016081222065611148,5,16.0,5,5
barabasi,4,24,7,0.5861956267688812,6,80.0,5,8
barabasi,4,25,3,0.18551573461351645,6,80.0,5,8
barabasi,4,26,339,0.1486682854608024,8,3152.0,5,14
barabasi,4,27,9,0.8796562823379241,6,80.0,5,8
barabasi,4,28,50,0.6843269039890156,7,496.0,5,11
barabasi,4,29,2,0.9834589443760929,5,16.0,5,5
barabasi,4,30,12,0.7988086982923764,6,80.0,5,8
barabasi,4,31,3,0.22278358302584206,6,80.0,5,8
barabasi,4,32,7,0.10296084037329004,6,80.0,5,8
barabasi,4,33,1,0.02908408849215343,5,16.0,5,5
barabasi,4,34,50,0.8900652678694274,7,496.0,5,11
barabasi,4,35,2,0.16463612027033045,5,16.0,5,5
barabasi,4,36,11,0.19533304008340188,7,496.0,5,11
barabasi,4,37,51,0.5668995635125736,7,496.0,5,11
barabasi,4,38,5,0.5732419986746352,6,80.0,5,8
barabasi,4,39,5,0.069329659483399,6,80.0,5,8
barabasi,4,40,9,0.25013232166148364,7,400.0,5,11
barabasi,4,41,2,0.021552222640776268,6,80.0,5,8
barabasi,4,42,4,0.02473237531644347,6,80.0,5,8
barabasi,4,43,2,0.02759310976492894,5,16.0,5,5
