type,dafNodes,repetition,time,justification,peafNodes,iteration,attacks,supports
barabasi,3,4,110,0.15292206970737648,4,8.0,3,4
barabasi,3,7,102,0.06235393996151031,4,8.0,3,4
barabasi,3,11,102,0.23729683662325318,4,8.0,3,4
barabasi,3,6,103,0.005551668143827591,4,8.0,3,4
barabasi,3,12,105,7.285759072875359E-4,4,8.0,3,4
barabasi,3,1,115,0.009643019630549064,4,8.0,3,4
barabasi,3,13,125,0.06110898777132978,4,8.0,3,4
barabasi,3,8,137,0.5362532297707467,5,40.0,3,7
barabasi,3,2,130,0.08131019719166778,5,40.0,3,7
barabasi,3,10,140,0.19722417669565748,5,40.0,3,7
barabasi,3,5,144,0.5316182799171574,5,40.0,3,7
barabasi,3,26,1,0.4645438472748423,4,8.0,3,4
barabasi,3,17,6,0.17267377911927267,4,8.0,3,4
barabasi,3,20,10,0.786638050589652,4,8.0,3,4
barabasi,3,28,4,0.3989423486255162,4,8.0,3,4
barabasi,3,19,15,0.6321145513729902,4,8.0,3,4
barabasi,3,21,54,0.7984546066714848,5,40.0,3,7
barabasi,3,24,57,0.5623470088812512,5,40.0,3,7
barabasi,3,31,50,0.16135008285575997,4,8.0,3,4
barabasi,3,18,72,0.18812708407144185,5,40.0,3,7
barabasi,3,22,74,0.4149914942334064,5,40.0,3,7
barabasi,3,32,26,0.277148917414811,5,40.0,3,7
barabasi,3,27,95,0.588158696126682,5,40.0,3,7
barabasi,3,33,48,0.4275631970660759,5,40.0,3,7
barabasi,3,30,103,0.0323688981615815,5,40.0,3,7
barabasi,3,39,10,0.7799490537280263,4,8.0,3,4
barabasi,3,35,66,0.6871612004449379,5,40.0,3,7
barabasi,3,16,140,0.8691640183954024,5,40.0,3,7
barabasi,3,43,3,0.4209876063114037,4,8.0,3,4
barabasi,3,40,35,0.7505105721979755,5,40.0,3,7
barabasi,3,25,165,0.7308881598833508,5,40.0,3,7
barabasi,3,29,156,0.5458082151787655,5,40.0,3,7
barabasi,3,23,170,0.921721352048227,5,40.0,3,7
barabasi,3,45,31,0.17018192938548976,5,40.0,3,7
barabasi,3,36,110,0.8921840133500678,5,40.0,3,7
barabasi,3,44,48,0.36563016984796076,5,40.0,3,7
barabasi,3,14,353,0.6165089313538294,6,248.0,3,10
barabasi,3,51,21,0.818734415321214,4,8.0,3,4
barabasi,3,50,36,0.13528592737095949,5,40.0,3,7
barabasi,3,49,52,0.13107384313474563,5,40.0,3,7
barabasi,3,3,403,0.5258222936102986,6,248.0,3,10
barabasi,3,52,49,0.041718277086075436,5,40.0,3,7
barabasi,3,57,10,0.09781075540411524,4,8.0,3,4
